nohup: ignoring input
[[1 2 3]
 [4 5 6]]
| Xavier Initialization
| Xavier Initialization
Training started
Use Critic:
False
/SCRATCH/liudefen/PycharmProjects/gnn/GraphRL/gcn/models_gcn.py:85: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  features = F.log_softmax(features.t())
epochs 0 loss 11.612160682678223
epochs 0 loss 10.26853084564209
epochs 0 loss 11.205979347229004
epochs 0 loss 13.130401611328125
epochs 0 loss 10.574413299560547
epochs 0 loss 8.386552810668945
epochs 0 loss 12.086511611938477
epochs 0 loss 16.391616821289062
epochs 0 loss 11.054567337036133
epochs 0 loss 9.98758602142334
epoch 0000 gcn2mind min_ratio 1.0861244019138756 max_ratio 1.1261467889908257 av_ratio 1.1088813938198137
epochs 1 loss 11.813158988952637
epochs 1 loss 10.73703670501709
epochs 1 loss 13.064828872680664
epochs 1 loss 13.709421157836914
epochs 1 loss 9.632759094238281
epochs 1 loss 13.97563362121582
epochs 1 loss 15.232179641723633
epochs 1 loss 9.481778144836426
epochs 1 loss 11.886322975158691
epochs 1 loss 10.702814102172852
epoch 0001 gcn2mind min_ratio 1.0959119496855345 max_ratio 1.1415313225058004 av_ratio 1.1128845575595538
epochs 2 loss 11.848267555236816
epochs 2 loss 13.915046691894531
epochs 2 loss 5.076756954193115
epochs 2 loss 10.245784759521484
epochs 2 loss 11.594886779785156
epochs 2 loss 10.698731422424316
epochs 2 loss 11.494714736938477
epochs 2 loss 12.264226913452148
epochs 2 loss 11.485183715820312
epochs 2 loss 6.32703971862793
epoch 0002 gcn2mind min_ratio 1.0975609756097562 max_ratio 1.1495624502784407 av_ratio 1.1174168194325294
epochs 3 loss 11.448917388916016
epochs 3 loss 11.871814727783203
epochs 3 loss 13.358648300170898
epochs 3 loss 9.884183883666992
epochs 3 loss 14.471816062927246
epochs 3 loss 15.895784378051758
epochs 3 loss 16.71232795715332
epochs 3 loss 16.18030548095703
epochs 3 loss 13.622208595275879
epochs 3 loss 15.09628677368164
epoch 0003 gcn2mind min_ratio 1.0969162995594715 max_ratio 1.152744630071599 av_ratio 1.1175430435082458
epochs 4 loss 12.118215560913086
epochs 4 loss 4.509969234466553
epochs 4 loss 10.236809730529785
epochs 4 loss 9.831421852111816
epochs 4 loss 10.798548698425293
epochs 4 loss 8.323667526245117
epochs 4 loss 10.116850852966309
epochs 4 loss 13.300516128540039
epochs 4 loss 11.715707778930664
