nohup: ignoring input
[[1 2 3]
 [4 5 6]]
| Xavier Initialization
| Xavier Initialization
Training started
Use Critic:
False
/SCRATCH/liudefen/PycharmProjects/gnn/GraphRL/gcn/models_gcn.py:85: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  features = F.log_softmax(features.t())
epochs 0 loss -11.612160682678223
epochs 0 loss -11.620918273925781
epochs 0 loss -12.570253372192383
epochs 0 loss -13.569389343261719
epochs 0 loss -13.064901351928711
epochs 0 loss -11.566170692443848
epochs 0 loss -13.92177963256836
epochs 0 loss -12.679803848266602
epochs 0 loss -13.311450004577637
epochs 0 loss -12.732242584228516
epoch 0000 gcn2mind min_ratio 1.0682819383259912 max_ratio 1.1223694466095089 av_ratio 1.0937602824974675
epochs 1 loss -13.40412712097168
epochs 1 loss -12.715327262878418
epochs 1 loss -13.371610641479492
epochs 1 loss -13.319055557250977
epochs 1 loss -14.752166748046875
epochs 1 loss -13.511110305786133
epochs 1 loss -14.841973304748535
epochs 1 loss -13.121217727661133
epochs 1 loss -11.276530265808105
epochs 1 loss -12.850068092346191
epoch 0001 gcn2mind min_ratio 1.0874015748031496 max_ratio 1.1509287925696594 av_ratio 1.1106728701946746
epochs 2 loss -12.224395751953125
epochs 2 loss -13.35446834564209
epochs 2 loss -13.34479808807373
epochs 2 loss -12.89664077758789
epochs 2 loss -14.253592491149902
epochs 2 loss -13.644891738891602
epochs 2 loss -12.575000762939453
epochs 2 loss -12.482843399047852
epochs 2 loss -13.025269508361816
epochs 2 loss -13.052379608154297
epoch 0002 gcn2mind min_ratio 1.0637795275590551 max_ratio 1.138544891640867 av_ratio 1.1018270494343898
epochs 3 loss -13.102521896362305
epochs 3 loss -12.528063774108887
epochs 3 loss -13.999672889709473
epochs 3 loss -12.933368682861328
epochs 3 loss -12.955110549926758
epochs 3 loss -16.41514015197754
epochs 3 loss -13.320427894592285
epochs 3 loss -14.950121879577637
epochs 3 loss -13.677289962768555
epochs 3 loss -12.646130561828613
epoch 0003 gcn2mind min_ratio 1.0817610062893082 max_ratio 1.1272443403590944 av_ratio 1.1011627096029044
epochs 4 loss -13.97696304321289
epochs 4 loss -13.764359474182129
epochs 4 loss -13.755252838134766
epochs 4 loss -13.977349281311035
epochs 4 loss -12.35631275177002
epochs 4 loss -12.508906364440918
epochs 4 loss -13.655200004577637
epochs 4 loss -12.50613784790039
epochs 4 loss -13.862977981567383
epochs 4 loss -14.151803970336914
epoch 0004 gcn2mind min_ratio 1.0679970436067998 max_ratio 1.145398298530549 av_ratio 1.107497406265341
epochs 5 loss -13.813129425048828
epochs 5 loss -13.347709655761719
epochs 5 loss -13.288335800170898
epochs 5 loss -12.32638168334961
epochs 5 loss -15.039716720581055
epochs 5 loss -12.156388282775879
epochs 5 loss -13.548550605773926
epochs 5 loss -12.084624290466309
epochs 5 loss -12.986632347106934
epochs 5 loss -13.234047889709473
epoch 0005 gcn2mind min_ratio 1.084251968503937 max_ratio 1.1377708978328174 av_ratio 1.1079895236986244
epochs 6 loss -12.703451156616211
epochs 6 loss -14.258944511413574
epochs 6 loss -13.241569519042969
epochs 6 loss -13.406185150146484
epochs 6 loss -13.740842819213867
epochs 6 loss -12.774543762207031
epochs 6 loss -14.126724243164062
epochs 6 loss -13.126989364624023
epochs 6 loss -13.772749900817871
epochs 6 loss -13.581748008728027
epoch 0006 gcn2mind min_ratio 1.0794025157232705 max_ratio 1.1228482003129892 av_ratio 1.1037610209940374
epochs 7 loss -13.34298038482666
epochs 7 loss -12.766702651977539
epochs 7 loss -14.330570220947266
epochs 7 loss -12.568739891052246
epochs 7 loss -13.178159713745117
epochs 7 loss -14.073981285095215
epochs 7 loss -14.185735702514648
epochs 7 loss -14.69089412689209
epochs 7 loss -13.227641105651855
epochs 7 loss -13.739299774169922
epoch 0007 gcn2mind min_ratio 1.090169992609017 max_ratio 1.1323529411764706 av_ratio 1.1073315818305427
epochs 8 loss -12.065094947814941
epochs 8 loss -13.079782485961914
epochs 8 loss -14.704050064086914
epochs 8 loss -14.179628372192383
epochs 8 loss -13.498565673828125
epochs 8 loss -12.333441734313965
epochs 8 loss -12.270469665527344
epochs 8 loss -12.929803848266602
epochs 8 loss -12.598053932189941
epochs 8 loss -14.403289794921875
epoch 0008 gcn2mind min_ratio 1.061369000786782 max_ratio 1.136085626911315 av_ratio 1.098230877505929
epochs 9 loss -13.087872505187988
