nohup: ignoring input
[[1 2 3]
 [4 5 6]]
| Xavier Initialization
| Xavier Initialization
Supervised Training started
heuristic: min_degree actor learning rate: 0.001 epochs: 200 DataSet: UFSMDataset

Use Critic:
False
/local_workspace/liudefen/PycharmProjects/PycharmProjects/PycharmProjects/gnn/GraphRL/gcn/models_gcn.py:85: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  features = F.log_softmax(features.t())
epochs 0 loss -197.36676025390625
parameter name actor.gc1.weight parameter value tensor(1.00000e-04 *
       [[-7.0304]], device='cuda:0')
parameter name actor.gc1.bias parameter value tensor([ 1.3975], device='cuda:0')
parameter name actor.gc2.weight parameter value tensor([[-1.2467]], device='cuda:0')
parameter name actor.gc2.bias parameter value tensor(1.00000e-04 *
       [ 2.2029], device='cuda:0')
epochs 2 loss -128.1537628173828
epochs 3 loss -211.92520141601562
epochs 4 loss -177.5962371826172
epochs 5 loss -242.42877197265625
epochs 6 loss -195.6797637939453
epochs 7 loss -173.28726196289062
epochs 8 loss -150.67974853515625
epochs 9 loss -216.26303100585938
epochs 10 loss -170.0691680908203
epochs 11 loss -194.9021759033203
epochs 12 loss -149.55104064941406
epochs 13 loss -174.26983642578125
epochs 14 loss -211.70228576660156
epochs 15 loss -89.88325500488281
epochs 16 loss -130.40692138671875
epochs 17 loss -158.7467498779297
epochs 18 loss -162.7720947265625
epochs 19 loss -143.58355712890625
epochs 20 loss -180.12362670898438
epochs 21 loss -153.5922393798828
epochs 22 loss -140.4529266357422
epochs 23 loss -150.9830322265625
epochs 24 loss -138.18338012695312
epochs 25 loss -198.67787170410156
epochs 26 loss -173.50192260742188
epochs 27 loss -219.01734924316406
epochs 28 loss -232.79241943359375
epochs 29 loss -188.23934936523438
epochs 30 loss -217.6037139892578
epochs 31 loss -167.80357360839844
epochs 32 loss -133.66688537597656
epochs 33 loss -178.20838928222656
epochs 34 loss -146.49606323242188
epochs 35 loss -123.40524291992188
epochs 36 loss -210.31613159179688
epochs 37 loss -198.2492218017578
epochs 38 loss -160.51211547851562
epochs 39 loss -106.94886779785156
epochs 40 loss -164.10606384277344
epochs 41 loss -191.62982177734375
epochs 42 loss -210.7147674560547
epochs 43 loss -182.56634521484375
epochs 44 loss -193.31109619140625
epochs 45 loss -139.56198120117188
epochs 46 loss -249.63583374023438
epochs 47 loss -143.22633361816406
epochs 48 loss -205.42506408691406
epochs 49 loss -233.97032165527344
epochs 50 loss -202.32240295410156
epochs 51 loss -210.542724609375
