nohup: ignoring input
[[1 2 3]
 [4 5 6]]
| Xavier Initialization
| Xavier Initialization
Use Critic:
False
/local_workspace/liudefen/PycharmProjects/PycharmProjects/PycharmProjects/gnn/GraphRL/gcn/models_gcn.py:85: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  features = F.log_softmax(features.t())
epochs 0 loss -476.8765411376953
epoch 0000 gcn2min_degree  train av_ratio 1.2923945272032293  validation av_ratio 0.9373142100809339
parameter name actor.gc1.weight parameter value tensor(1.00000e-04 *
       [[-7.0304]], device='cuda:0')
parameter name actor.gc1.bias parameter value tensor([ 1.3975], device='cuda:0')
parameter name actor.gc2.weight parameter value tensor([[-1.2467]], device='cuda:0')
parameter name actor.gc2.bias parameter value tensor(1.00000e-04 *
       [ 2.2029], device='cuda:0')
epochs 1 loss -498.8827590942383
epochs 2 loss -471.01781463623047
epochs 3 loss -619.0142974853516
epochs 4 loss -571.8359222412109
epochs 5 loss -441.06736755371094
epochs 6 loss -464.6505661010742
epochs 7 loss -472.0790557861328
epochs 8 loss -468.4055633544922
epochs 9 loss -493.8901596069336
epochs 10 loss -489.66795349121094
epochs 11 loss -569.4694976806641
epochs 12 loss -501.83555603027344
epochs 13 loss -458.26509857177734
epochs 14 loss -510.3233184814453
epochs 15 loss -452.93599700927734
epochs 16 loss -443.742919921875
epochs 17 loss -462.9834899902344
epochs 18 loss -520.2469635009766
epochs 19 loss -430.3257751464844
epochs 20 loss -488.4143371582031
epochs 21 loss -479.98160552978516
epochs 22 loss -530.8092651367188
epochs 23 loss -455.61720275878906
epochs 24 loss -530.3230895996094
epochs 25 loss -474.5240936279297
epochs 26 loss -464.4336853027344
epochs 27 loss -457.13343048095703
epochs 28 loss -486.61827087402344
epochs 29 loss -518.0317840576172
epochs 30 loss -476.5244827270508
epochs 31 loss -513.0495452880859
epochs 32 loss -580.9993057250977
epochs 33 loss -459.4436721801758
epochs 34 loss -502.31321716308594
epochs 35 loss -500.8767547607422
epochs 36 loss -459.5287857055664
epochs 37 loss -528.3261108398438
epochs 38 loss -520.7711029052734
epochs 39 loss -477.3944549560547
epochs 40 loss -496.6399230957031
epochs 41 loss -587.1024780273438
epochs 42 loss -470.3016052246094
epochs 43 loss -479.20738220214844
epochs 44 loss -460.7691650390625
epochs 45 loss -551.7539215087891
epochs 46 loss -535.7190704345703
epochs 47 loss -473.298828125
epochs 48 loss -489.8113250732422
epochs 49 loss -468.32491302490234
epochs 50 loss -421.8500442504883
epochs 51 loss -530.5765838623047
epochs 52 loss -499.3554382324219
epochs 53 loss -483.1209411621094
epochs 54 loss -499.44525146484375
epochs 55 loss -482.74534606933594
epochs 56 loss -488.9413299560547
epochs 57 loss -478.2665557861328
epochs 58 loss -510.00193786621094
epochs 59 loss -444.6131286621094
epochs 60 loss -432.87682342529297
epochs 61 loss -527.2607727050781
epochs 62 loss -501.5889587402344
epochs 63 loss -448.2181854248047
epochs 64 loss -527.3852767944336
epochs 65 loss -478.68959045410156
epochs 66 loss -488.46119689941406
epochs 67 loss -456.3827819824219
epochs 68 loss -469.72684478759766
epochs 69 loss -484.12103271484375
epochs 70 loss -571.3714141845703
epochs 71 loss -498.88453674316406
epochs 72 loss -442.5205993652344
epochs 73 loss -448.264404296875
epochs 74 loss -457.36193084716797
epochs 75 loss -419.0280227661133
epochs 76 loss -492.54795837402344
epochs 77 loss -454.1305236816406
epochs 78 loss -485.4890899658203
epochs 79 loss -466.0680465698242
epochs 80 loss -440.89720153808594
epochs 81 loss -500.26177978515625
epochs 82 loss -488.2870559692383
epochs 83 loss -470.11962890625
epochs 84 loss -477.6413879394531
epochs 85 loss -452.9503936767578
epochs 86 loss -456.3483428955078
epochs 87 loss -464.38563537597656
epochs 88 loss -484.3750457763672
epochs 89 loss -473.27252197265625
epochs 90 loss -526.94091796875
epochs 91 loss -465.8279800415039
epochs 92 loss -463.82640075683594
epochs 93 loss -436.00244140625
epochs 94 loss -522.3509063720703
epochs 95 loss -470.19190979003906
epochs 96 loss -478.4217834472656
epochs 97 loss -499.8849639892578
epochs 98 loss -468.4335174560547
epochs 99 loss -473.39937591552734
epochs 100 loss -485.0056610107422
epochs 101 loss -431.5665588378906
epochs 102 loss -431.8828659057617
epochs 103 loss -460.70597076416016
epochs 104 loss -427.4499053955078
epochs 105 loss -495.2831115722656
epochs 106 loss -479.1295623779297
epochs 107 loss -457.12513732910156
epochs 108 loss -503.6874237060547
epochs 109 loss -504.1389923095703
epochs 110 loss -456.0957489013672
epochs 111 loss -580.8585815429688
epochs 112 loss -454.2891159057617
epochs 113 loss -503.5745849609375
epochs 114 loss -419.6952209472656
epochs 115 loss -463.48065185546875
epochs 116 loss -459.15248107910156
epochs 117 loss -578.950439453125
epochs 118 loss -454.3152084350586
epochs 119 loss -479.36830139160156
epochs 120 loss -479.05540466308594
epochs 121 loss -453.828369140625
epochs 122 loss -460.70709228515625
epochs 123 loss -569.2677307128906
epochs 124 loss -449.25887298583984
epochs 125 loss -469.3200988769531
epochs 126 loss -476.17579650878906
epochs 127 loss -449.4526672363281
epochs 128 loss -452.1732482910156
epochs 129 loss -514.5633850097656
epochs 130 loss -460.9078598022461
epochs 131 loss -458.3840789794922
epochs 132 loss -504.89666748046875
epochs 133 loss -633.3629913330078
epochs 134 loss -438.7881317138672
epochs 135 loss -519.4492645263672
epochs 136 loss -499.7750701904297
epochs 137 loss -627.7330474853516
epochs 138 loss -490.87652587890625
epochs 139 loss -501.5934753417969
epochs 140 loss -484.1188659667969
epochs 141 loss -505.5896911621094
epochs 142 loss -440.77271270751953
epochs 143 loss -490.0453643798828
epochs 144 loss -473.0616149902344
epochs 145 loss -467.88087463378906
epochs 146 loss -466.5936737060547
epochs 147 loss -499.85560607910156
epochs 148 loss -555.0276641845703
epochs 149 loss -586.3546600341797
epochs 150 loss -438.87776947021484
epochs 151 loss -533.6973266601562
epochs 152 loss -473.23282623291016
epochs 153 loss -432.4949951171875
epochs 154 loss -450.3157043457031
epochs 155 loss -487.6315002441406
epochs 156 loss -530.2184753417969
epochs 157 loss -476.13182067871094
epochs 158 loss -426.1591033935547
epochs 159 loss -490.1290588378906
epochs 160 loss -433.3799743652344
epochs 161 loss -454.3884582519531
epochs 162 loss -540.1679382324219
epochs 163 loss -569.0992126464844
epochs 164 loss -463.3180847167969
epochs 165 loss -488.40038299560547
epochs 166 loss -443.15564727783203
epochs 167 loss -466.36151123046875
epochs 168 loss -487.68687438964844
epochs 169 loss -483.13555908203125
epochs 170 loss -454.2202682495117
epochs 171 loss -491.3549499511719
epochs 172 loss -432.75768280029297
epochs 173 loss -426.9138946533203
epochs 174 loss -481.0296173095703
epochs 175 loss -461.8045196533203
epochs 176 loss -449.5031433105469
epochs 177 loss -486.74530029296875
epochs 178 loss -440.82032775878906
epochs 179 loss -524.8850860595703
epochs 180 loss -512.9667816162109
epochs 181 loss -505.11065673828125
epochs 182 loss -544.9994964599609
epochs 183 loss -574.1508331298828
epochs 184 loss -499.0151672363281
epochs 185 loss -519.0335540771484
epochs 186 loss -471.3348083496094
epochs 187 loss -428.8739471435547
epochs 188 loss -488.0417022705078
epochs 189 loss -488.52793884277344
epochs 190 loss -472.50233459472656
epochs 191 loss -455.50050354003906
epochs 192 loss -528.2595825195312
epochs 193 loss -494.3136291503906
epochs 194 loss -555.3633575439453
epochs 195 loss -459.78096771240234
epochs 196 loss -563.0149078369141
epochs 197 loss -476.8416442871094
epochs 198 loss -473.4207763671875
epochs 199 loss -506.68621826171875
epochs 200 loss -587.6312561035156
epochs 201 loss -489.2530822753906
epochs 202 loss -469.1835021972656
epochs 203 loss -458.5496368408203
epochs 204 loss -453.34351348876953
epochs 205 loss -496.08921813964844
epochs 206 loss -498.4412612915039
epochs 207 loss -467.2888488769531
epochs 208 loss -468.48243713378906
epochs 209 loss -472.5556640625
epochs 210 loss -456.7680206298828
epochs 211 loss -558.8843994140625
epochs 212 loss -481.7645263671875
epochs 213 loss -527.2662506103516
epochs 214 loss -418.92877197265625
epochs 215 loss -490.14935302734375
epochs 216 loss -462.4264678955078
epochs 217 loss -530.6303253173828
epochs 218 loss -444.7867736816406
epochs 219 loss -463.9381561279297
epochs 220 loss -521.4933776855469
epochs 221 loss -524.5674285888672
epochs 222 loss -430.9513931274414
epochs 223 loss -451.3538055419922
epochs 224 loss -453.56298828125
epochs 225 loss -467.4281311035156
epochs 226 loss -449.0474395751953
epochs 227 loss -465.1156921386719
epochs 228 loss -471.4473876953125
epochs 229 loss -532.8787536621094
epochs 230 loss -489.21507263183594
epochs 231 loss -443.4204406738281
epochs 232 loss -469.75726318359375
epochs 233 loss -604.5931243896484
epochs 234 loss -554.3486022949219
epochs 235 loss -478.24412536621094
epochs 236 loss -505.4118347167969
epochs 237 loss -465.99259185791016
epochs 238 loss -506.04014587402344
epochs 239 loss -509.8103332519531
epochs 240 loss -478.75384521484375
epochs 241 loss -438.2486572265625
epochs 242 loss -472.83775329589844
epochs 243 loss -458.17906188964844
epochs 244 loss -475.58543395996094
epochs 245 loss -418.3332824707031
epochs 246 loss -456.505615234375
epochs 247 loss -472.6150817871094
epochs 248 loss -455.4819107055664
epochs 249 loss -627.6891174316406
epochs 250 loss -433.19749450683594
epochs 251 loss -496.02886962890625
epochs 252 loss -429.1681594848633
epochs 253 loss -484.48780822753906
epochs 254 loss -482.0909729003906
epochs 255 loss -564.7061157226562
epochs 256 loss -472.21104431152344
epochs 257 loss -474.818603515625
epochs 258 loss -472.5889587402344
epochs 259 loss -481.1235046386719
epochs 260 loss -500.3846435546875
epochs 261 loss -486.60479736328125
epochs 262 loss -480.126708984375
epochs 263 loss -496.913330078125
epochs 264 loss -479.4799041748047
epochs 265 loss -450.9917449951172
epochs 266 loss -523.788330078125
epochs 267 loss -501.21897888183594
epochs 268 loss -477.4444274902344
epochs 269 loss -496.7478332519531
