nohup: ignoring input
[[1 2 3]
 [4 5 6]]
| Xavier Initialization
| Xavier Initialization
Use Critic:
False
/local_workspace/liudefen/PycharmProjects/PycharmProjects/GraphRL/gcn/models_gcn.py:85: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  features = F.log_softmax(features.t())
epochs 0 loss 49.24462699890137
parameter name actor.gc1.weight parameter value tensor(1.00000e-04 *
       [[-7.0304]], device='cuda:0')
parameter name actor.gc1.bias parameter value tensor([ 1.3975], device='cuda:0')
parameter name actor.gc2.weight parameter value tensor([[-1.2467]], device='cuda:0')
parameter name actor.gc2.bias parameter value tensor(1.00000e-04 *
       [ 2.2029], device='cuda:0')
epochs 2 loss 28.309348106384277
epochs 3 loss -90.25787925720215
epochs 4 loss -21.586565017700195
epochs 5 loss -14.695978164672852
epochs 6 loss -54.93532752990723
epochs 7 loss -47.186553955078125
epochs 8 loss 89.772780418396
epochs 9 loss -17.46906852722168
epochs 10 loss -99.73170280456543
epochs 11 loss -1.1678047180175781
epochs 12 loss 8.681129932403564
epochs 13 loss -41.50810241699219
epochs 14 loss 64.16252374649048
epochs 15 loss -117.99691581726074
epochs 16 loss -63.90971755981445
epochs 17 loss -33.95840644836426
epochs 18 loss -53.047078132629395
epochs 19 loss -68.97765922546387
epochs 20 loss 67.96207046508789
epochs 21 loss -99.59857749938965
epochs 22 loss 21.074143648147583
epochs 23 loss -80.53295850753784
epochs 24 loss 98.81493759155273
epochs 25 loss -100.14312171936035
epochs 26 loss 80.2803144454956
epochs 27 loss -123.7397050857544
epochs 28 loss -30.365968227386475
epochs 29 loss -60.37548065185547
epochs 30 loss -130.17087745666504
epochs 31 loss 33.83571815490723
epochs 32 loss -64.55215835571289
epochs 33 loss -73.84485626220703
epochs 34 loss -68.88807201385498
epochs 35 loss 78.17680168151855
epochs 36 loss 57.26497983932495
epochs 37 loss -71.6419448852539
epochs 38 loss 20.899157762527466
epochs 39 loss -40.963172912597656
epochs 40 loss -50.35379505157471
epochs 41 loss 14.993821144104004
epochs 42 loss -107.45098686218262
epochs 43 loss 51.10896110534668
epochs 44 loss 28.631694793701172
epochs 45 loss -91.19257926940918
epochs 46 loss -184.8510866165161
epochs 47 loss 50.21326446533203
epochs 48 loss -17.33350944519043
epochs 49 loss -14.827563285827637
epochs 50 loss -89.02346062660217
epochs 51 loss -6.371793746948242
epochs 52 loss 1.0605287551879883
epochs 53 loss -123.7286262512207
epochs 54 loss -52.427886962890625
epochs 55 loss 11.163183212280273
epochs 56 loss 8.746833801269531
epochs 57 loss 28.52770233154297
epochs 58 loss -8.849676132202148
epochs 59 loss -28.049076080322266
epochs 60 loss 8.580995798110962
epochs 61 loss -47.236552238464355
epochs 62 loss -60.53580856323242
epochs 63 loss 15.740988731384277
epochs 64 loss -47.07169246673584
epochs 65 loss -27.11923885345459
epochs 66 loss -73.2164077758789
epochs 67 loss 105.94996976852417
epochs 68 loss 31.715559005737305
epochs 69 loss -22.66969108581543
epochs 70 loss 61.29121780395508
epochs 71 loss -5.3553619384765625
epochs 72 loss 13.234168529510498
epochs 73 loss -94.41574478149414
epochs 74 loss 31.682380199432373
epochs 75 loss 65.46511459350586
epochs 76 loss -101.9735336303711
epochs 77 loss 62.716461181640625
epochs 78 loss -116.39451217651367
epochs 79 loss -95.07711029052734
epochs 80 loss -89.92648696899414
epochs 81 loss -7.544735908508301
epochs 82 loss -22.171934127807617
epochs 83 loss -176.42101287841797
epochs 84 loss -30.87008762359619
epochs 85 loss 90.4903736114502
epochs 86 loss -18.91962432861328
epochs 87 loss -20.190717697143555
epochs 88 loss -15.075201034545898
epochs 89 loss 46.71535396575928
epochs 90 loss -16.770139694213867
epochs 91 loss 83.92200565338135
epochs 92 loss -48.895777225494385
epochs 93 loss 4.7728657722473145
epochs 94 loss -43.28695869445801
epochs 95 loss 54.85168266296387
epochs 96 loss 44.4955267906189
epochs 97 loss 42.21991157531738
epochs 98 loss 89.72724914550781
epochs 99 loss 81.32183456420898
epochs 100 loss 14.86904001235962
epochs 101 loss 43.742412090301514
epochs 102 loss 61.630292892456055
epochs 103 loss 101.68498516082764
epochs 104 loss 17.325271606445312
epochs 105 loss -28.556901931762695
epochs 106 loss 47.21905565261841
epochs 107 loss -51.12020015716553
epochs 108 loss -41.38157558441162
epochs 109 loss -53.727417945861816
epochs 110 loss -42.17217707633972
epochs 111 loss -10.618289947509766
epochs 112 loss -30.968965530395508
epochs 113 loss -53.548967361450195
epochs 114 loss -77.20649766921997
epochs 115 loss -50.50818920135498
epochs 116 loss -62.63727951049805
epochs 117 loss -42.8792724609375
epochs 118 loss -22.046053886413574
epochs 119 loss -70.68320417404175
epochs 120 loss 0.28745174407958984
epochs 121 loss -25.440598964691162
epochs 122 loss -52.71064901351929
epochs 123 loss -4.659643173217773
epochs 124 loss -93.7555456161499
epochs 125 loss -81.01435089111328
epochs 126 loss -65.60733437538147
epochs 127 loss -48.88297080993652
epochs 128 loss -23.35059428215027
epochs 129 loss -31.364030361175537
epochs 130 loss -30.286046028137207
epochs 131 loss 6.950507640838623
epochs 132 loss -1.7288308143615723
epochs 133 loss -155.68348693847656
epochs 134 loss -25.885363340377808
epochs 135 loss -73.75918483734131
epochs 136 loss -17.1490478515625
epochs 137 loss -22.96373748779297
epochs 138 loss 9.110021114349365
epochs 139 loss -21.14563274383545
epochs 140 loss -72.52294063568115
epochs 141 loss -51.55895233154297
epochs 142 loss -56.8727240562439
epochs 143 loss -55.39784622192383
epochs 144 loss -47.398377418518066
epochs 145 loss 6.961647987365723
epochs 146 loss -26.550480842590332
epochs 147 loss -64.95754432678223
epochs 148 loss -33.28356599807739
epochs 149 loss 1.2046136856079102
epochs 150 loss -2.1504716873168945
epochs 151 loss -21.744690418243408
epochs 152 loss 52.67938280105591
epochs 153 loss -85.55849647521973
epochs 154 loss -66.6460223197937
epochs 155 loss -115.4342041015625
epochs 156 loss -58.701661109924316
epochs 157 loss 80.4843978881836
epochs 158 loss 11.477028846740723
epochs 159 loss -22.425374031066895
epochs 160 loss -0.9990139007568359
epochs 161 loss 15.656339645385742
epochs 162 loss 1.033235788345337
epochs 163 loss -32.07670497894287
epochs 164 loss -37.02763271331787
epochs 165 loss -14.0686616897583
epochs 166 loss -72.69304990768433
epochs 167 loss -38.507476806640625
epochs 168 loss -15.468105792999268
epochs 169 loss -68.20647716522217
epochs 170 loss -30.36196780204773
epochs 171 loss -82.8046064376831
epochs 172 loss -85.15116310119629
epochs 173 loss -5.818288326263428
epochs 174 loss 42.164337396621704
epochs 175 loss -33.878206729888916
epochs 176 loss 29.287951946258545
epochs 177 loss 35.03991341590881
epochs 178 loss 29.70495891571045
epochs 179 loss 76.62452507019043
epochs 180 loss 56.2541561126709
epochs 181 loss 42.86095428466797
epochs 182 loss 49.24022102355957
epochs 183 loss -142.9951229095459
epochs 184 loss -58.99112248420715
epochs 185 loss -48.83334159851074
epochs 186 loss -46.93438243865967
epochs 187 loss -47.685330390930176
epochs 188 loss -4.071685791015625
epochs 189 loss -47.46053647994995
epochs 190 loss -1.8559646606445312
epochs 191 loss -80.78509044647217
epochs 192 loss -3.544754981994629
epochs 193 loss -91.01715278625488
epochs 194 loss -6.070080757141113
epochs 195 loss -10.846129179000854
epochs 196 loss -48.259504556655884
epochs 197 loss -11.809250831604004
epochs 198 loss -59.04779052734375
epochs 199 loss -5.562231540679932
epochs 200 loss 3.8088130950927734
epochs 201 loss 50.56174325942993
epochs 202 loss 27.426288843154907
epochs 203 loss 87.87103509902954
epochs 204 loss 1.0731525421142578
epochs 205 loss 20.029732704162598
epochs 206 loss -23.028263092041016
epochs 207 loss -30.21249771118164
epochs 208 loss 105.9177188873291
epochs 209 loss 30.470568656921387
epochs 210 loss 130.85523223876953
epochs 211 loss 23.10748291015625
epochs 212 loss 20.129989624023438
epochs 213 loss 92.33250951766968
epochs 214 loss 36.13792371749878
epochs 215 loss 41.29550266265869
epochs 216 loss 123.5866916179657
epochs 217 loss 57.29189586639404
epochs 218 loss 93.07015037536621
epochs 219 loss 81.23610210418701
epochs 220 loss 88.48585605621338
epochs 221 loss 153.78730583190918
epochs 222 loss 43.322943687438965
epochs 223 loss 101.86718559265137
epochs 224 loss -26.81964635848999
epochs 225 loss 66.01474380493164
epochs 226 loss 90.69534587860107
epochs 227 loss 54.24136734008789
epochs 228 loss 1.0272607803344727
epochs 229 loss 79.25016498565674
epochs 230 loss 55.113582611083984
epochs 231 loss 74.61111068725586
epochs 232 loss 86.11291313171387
epochs 233 loss 66.05390739440918
epochs 234 loss 50.11489009857178
epochs 235 loss 109.60783243179321
epochs 236 loss 84.13012981414795
epochs 237 loss 13.664498329162598
epochs 238 loss 74.1596851348877
epochs 239 loss 132.50766849517822
epochs 240 loss 87.72321128845215
epochs 241 loss -106.41826248168945
epochs 242 loss -88.59373664855957
epochs 243 loss -162.8368148803711
epochs 244 loss -12.018577575683594
epochs 245 loss -17.21591567993164
epochs 246 loss -9.962833404541016
epochs 247 loss -26.802011489868164
epochs 248 loss 87.32972240447998
epochs 249 loss -1.6521410942077637
epochs 250 loss -41.3612117767334
epochs 251 loss 137.51367950439453
epochs 252 loss -50.237539768218994
epochs 253 loss -28.612937927246094
epochs 254 loss -13.245598316192627
epochs 255 loss -59.684067249298096
epochs 256 loss 65.27068901062012
epochs 257 loss 97.3472785949707
epochs 258 loss 7.8839111328125
epochs 259 loss 52.40440583229065
epochs 260 loss -17.189428329467773
epochs 261 loss -4.675621032714844
epochs 262 loss 59.75917053222656
epochs 263 loss 108.48186206817627
epochs 264 loss 77.80197143554688
epochs 265 loss 179.64344787597656
epochs 266 loss 67.35937881469727
epochs 267 loss 63.94939088821411
epochs 268 loss 53.15125322341919
epochs 269 loss 48.76215195655823
epochs 270 loss 69.38958740234375
epochs 271 loss 122.52883720397949
epochs 272 loss 18.910769939422607
epochs 273 loss 97.79703140258789
epochs 274 loss 87.50689888000488
epochs 275 loss 78.6834487915039
epochs 276 loss 56.497419357299805
epochs 277 loss 16.475852966308594
epochs 278 loss 99.39284706115723
epochs 279 loss 13.71603775024414
epochs 280 loss 91.78086376190186
epochs 281 loss 11.959762573242188
epochs 282 loss 25.388503789901733
epochs 283 loss 75.6000509262085
epochs 284 loss 166.52673149108887
epochs 285 loss -25.105765342712402
epochs 286 loss 72.11345338821411
epochs 287 loss -0.3921670913696289
epochs 288 loss 71.35057544708252
epochs 289 loss 52.70301914215088
epochs 290 loss -5.772521018981934
epochs 291 loss 137.1132402420044
epochs 292 loss 52.71282958984375
epochs 293 loss 17.598864555358887
epochs 294 loss -9.476821899414062
epochs 295 loss -32.63143825531006
epochs 296 loss 28.9642276763916
epochs 297 loss 64.21024417877197
epochs 298 loss 30.34500026702881
epochs 299 loss 100.51349544525146
epochs 300 loss -39.94014930725098
epochs 301 loss 25.946788787841797
epochs 302 loss 31.4840669631958
epochs 303 loss 47.189026832580566
epochs 304 loss 37.30002450942993
epochs 305 loss 27.48871946334839
epochs 306 loss 40.973562717437744
epochs 307 loss 57.81418466567993
epochs 308 loss 99.32010793685913
epochs 309 loss 92.21292495727539
epochs 310 loss -13.108016967773438
epochs 311 loss 33.34482288360596
epochs 312 loss 112.03135108947754
epochs 313 loss 91.87089157104492
epochs 314 loss 109.73478698730469
epochs 315 loss -0.7543306350708008
epochs 316 loss 95.76748466491699
epochs 317 loss 18.665027141571045
epochs 318 loss -0.8841235637664795
epochs 319 loss 8.337754249572754
epochs 320 loss 12.301472187042236
epochs 321 loss 33.88566970825195
epochs 322 loss -34.55027627944946
epochs 323 loss 10.294654846191406
epochs 324 loss 71.55505180358887
epochs 325 loss 68.16924476623535
epochs 326 loss 22.78850221633911
epochs 327 loss -72.82282066345215
epochs 328 loss 23.614222049713135
epochs 329 loss 137.67910861968994
epochs 330 loss -19.945618152618408
epochs 331 loss -123.58354568481445
epochs 332 loss -68.63571739196777
epochs 333 loss 33.62028694152832
epochs 334 loss -39.550920486450195
epochs 335 loss -15.964677810668945
epochs 336 loss -123.32557487487793
epochs 337 loss -35.316277503967285
epochs 338 loss -76.88962936401367
epochs 339 loss -16.0861873626709
epochs 340 loss 21.11318016052246
epochs 341 loss -62.45479774475098
epochs 342 loss 78.31250381469727
epochs 343 loss 7.682621002197266
epochs 344 loss 59.49822425842285
epochs 345 loss 54.001380920410156
epochs 346 loss 48.73516082763672
epochs 347 loss -28.25678825378418
epochs 348 loss 131.02066802978516
epochs 349 loss 27.71299171447754
epochs 350 loss -49.44437026977539
epochs 351 loss 44.41135025024414
epochs 352 loss -99.29217910766602
epochs 353 loss -89.29050827026367
epochs 354 loss -12.873067855834961
epochs 355 loss 55.32172989845276
epochs 356 loss -35.925992488861084
epochs 357 loss 142.6002597808838
epochs 358 loss 42.70067596435547
epochs 359 loss -107.63960647583008
epochs 360 loss 111.00968217849731
epochs 361 loss 53.64158535003662
epochs 362 loss -21.437171459197998
epochs 363 loss -19.979918479919434
epochs 364 loss -55.733720779418945
epochs 365 loss -60.797861099243164
epochs 366 loss 29.749181747436523
epochs 367 loss 121.47229385375977
epochs 368 loss 41.75148153305054
epochs 369 loss -64.60954093933105
epochs 370 loss -83.87530517578125
epochs 371 loss -27.11325454711914
epochs 372 loss -55.13335990905762
epochs 373 loss -94.44225311279297
epochs 374 loss 20.773712158203125
epochs 375 loss 103.87526321411133
epochs 376 loss -27.140121459960938
epochs 377 loss 46.80291557312012
epochs 378 loss 40.421029567718506
epochs 379 loss 74.05328369140625
epochs 380 loss -35.21588325500488
epochs 381 loss -38.11551284790039
epochs 382 loss 21.399503707885742
epochs 383 loss -0.7378978729248047
epochs 384 loss -29.20100498199463
epochs 385 loss 8.607255935668945
epochs 386 loss -73.24193954467773
epochs 387 loss 7.802299499511719
epochs 388 loss 40.293601989746094
epochs 389 loss 138.66413688659668
epochs 390 loss 90.23627281188965
epochs 391 loss -38.06332015991211
epochs 392 loss -8.598136901855469
epochs 393 loss -48.02225875854492
epochs 394 loss -30.767695426940918
epochs 395 loss 18.137435913085938
epochs 396 loss -135.21767950057983
epochs 397 loss -2.2712020874023438
epochs 398 loss 104.33224105834961
epochs 399 loss -29.169572830200195
epochs 400 loss -55.207908630371094
epochs 401 loss -90.26248931884766
epochs 402 loss 84.75534725189209
epochs 403 loss 149.00460243225098
epochs 404 loss 19.141774654388428
epochs 405 loss 53.71391296386719
epochs 406 loss -93.54692840576172
epochs 407 loss 98.37382316589355
epochs 408 loss -7.401269912719727
epochs 409 loss 32.195125579833984
epochs 410 loss 46.78438591957092
epochs 411 loss 41.56642532348633
epochs 412 loss -66.13485717773438
epochs 413 loss -45.20847988128662
epochs 414 loss -86.63320636749268
epochs 415 loss -64.60844802856445
epochs 416 loss -50.30066680908203
epochs 417 loss 72.53506374359131
epochs 418 loss 9.950821876525879
epochs 419 loss 6.318943023681641
epochs 420 loss -53.759220123291016
epochs 421 loss 48.03192186355591
epochs 422 loss 26.93332290649414
epochs 423 loss -107.96853828430176
epochs 424 loss -62.87510871887207
epochs 425 loss -123.53034019470215
epochs 426 loss -13.33762812614441
epochs 427 loss -6.076023101806641
epochs 428 loss 44.42578125
epochs 429 loss 0.0499267578125
epochs 430 loss 81.70743179321289
epochs 431 loss -20.20736312866211
epochs 432 loss -64.78403663635254
epochs 433 loss -30.227428436279297
epochs 434 loss -43.15818977355957
epochs 435 loss 91.31902694702148
epochs 436 loss -45.84673881530762
epochs 437 loss -33.481021881103516
epochs 438 loss -16.430686950683594
epochs 439 loss -45.69181251525879
epochs 440 loss -30.072954177856445
epochs 441 loss -109.16794204711914
epochs 442 loss -14.739849090576172
epochs 443 loss 104.20715618133545
epochs 444 loss 38.14728927612305
epochs 445 loss -29.19913673400879
epochs 446 loss 46.095035552978516
epochs 447 loss -3.999948501586914
epochs 448 loss 5.849021911621094
epochs 449 loss 25.58985710144043
epochs 450 loss 66.34061813354492
epochs 451 loss 19.241226196289062
epochs 452 loss 118.48118591308594
epochs 453 loss -6.488842010498047
epochs 454 loss -46.80813980102539
epochs 455 loss -58.82537794113159
epochs 456 loss -91.68517279624939
epochs 457 loss 66.48722743988037
epochs 458 loss 29.746639251708984
epochs 459 loss 153.64953422546387
epochs 460 loss 61.569815158843994
epochs 461 loss 103.40826797485352
epochs 462 loss -16.410520553588867
epochs 463 loss 11.405973434448242
epochs 464 loss -71.94332790374756
epochs 465 loss -85.25108242034912
epochs 466 loss 0.9561481475830078
epochs 467 loss -55.22987747192383
epochs 468 loss 71.38814210891724
epochs 469 loss -112.4315013885498
epochs 470 loss -62.008056640625
epochs 471 loss -80.73783111572266
epochs 472 loss -56.36374282836914
epochs 473 loss -135.28954696655273
epochs 474 loss -87.37419414520264
epochs 475 loss -55.98423099517822
epochs 476 loss 10.071807861328125
epochs 477 loss -11.200847625732422
epochs 478 loss -31.236841201782227
epochs 479 loss -23.8210506439209
epochs 480 loss 54.94787788391113
epochs 481 loss 32.11949920654297
epochs 482 loss -26.224905014038086
epochs 483 loss -104.3151626586914
epochs 484 loss 19.416330337524414
