nohup: ignoring input
[[1 2 3]
 [4 5 6]]
| Xavier Initialization
| Xavier Initialization
Use Critic:
False
/local_workspace/liudefen/PycharmProjects/PycharmProjects/PycharmProjects/gnn/GraphRL/gcn/models_gcn.py:85: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  features = F.log_softmax(features.t())
epochs 0 loss -18.004079818725586
parameter name actor.gc1.weight parameter value tensor(1.00000e-04 *
       [[-7.0304]], device='cuda:0')
parameter name actor.gc1.bias parameter value tensor([ 1.3975], device='cuda:0')
parameter name actor.gc2.weight parameter value tensor([[-1.2467]], device='cuda:0')
parameter name actor.gc2.bias parameter value tensor(1.00000e-04 *
       [ 2.2029], device='cuda:0')
/local_workspace/liudefen/PycharmProjects/PycharmProjects/PycharmProjects/gnn/GraphRL/rl/train_a2c_mc.py:520: RuntimeWarning: invalid value encountered in double_scalars
  _val_ave_gcn = np.sum(val_gcn_greedy) / len(val_gcn_greedy)
/local_workspace/liudefen/PycharmProjects/PycharmProjects/PycharmProjects/gnn/GraphRL/rl/train_a2c_mc.py:526: RuntimeWarning: invalid value encountered in double_scalars
  _val_ave_mind = np.sum(val_mind) / len(val_mind)
epochs 2 loss -42.82405471801758
epochs 3 loss -17.8028507232666
epochs 4 loss -44.02468490600586
epochs 5 loss -46.3462028503418
epochs 6 loss -60.88273620605469
epochs 7 loss -57.43894958496094
epochs 8 loss -43.90743637084961
epochs 9 loss -21.450668334960938
epochs 10 loss -35.65620422363281
epochs 11 loss -33.858028411865234
epochs 12 loss -72.7984390258789
epochs 13 loss -62.53062057495117
epochs 14 loss -32.251651763916016
epochs 15 loss -45.85908508300781
epochs 16 loss -55.73406982421875
epochs 17 loss -43.84327697753906
epochs 18 loss -26.57335662841797
epochs 19 loss -52.06145477294922
epochs 20 loss -60.31317138671875
epochs 21 loss -48.005645751953125
epochs 22 loss -71.4686050415039
epochs 23 loss -72.31291961669922
epochs 24 loss -37.667274475097656
epochs 25 loss 3.0769782066345215
epochs 26 loss -92.42571258544922
epochs 27 loss -39.31111526489258
epochs 28 loss -48.43374252319336
epochs 29 loss -69.02174377441406
epochs 30 loss -61.60541534423828
epochs 31 loss -34.670860290527344
epochs 32 loss -39.75598907470703
epochs 33 loss -79.15963745117188
epochs 34 loss -88.92414855957031
epochs 35 loss -51.07585525512695
epochs 36 loss -34.43733215332031
epochs 37 loss -31.42942237854004
epochs 38 loss -32.77644729614258
epochs 39 loss -56.95603942871094
epochs 40 loss -18.366308212280273
epochs 41 loss -87.6420669555664
epochs 42 loss -69.05821228027344
epochs 43 loss -34.935089111328125
epochs 44 loss -21.537403106689453
epochs 45 loss -32.9346809387207
epochs 46 loss -24.293752670288086
epochs 47 loss -43.339847564697266
epochs 48 loss -53.22383117675781
epochs 49 loss -38.52513885498047
epochs 50 loss -20.523609161376953
epochs 51 loss -63.2880744934082
epochs 52 loss -29.157846450805664
