nohup: ignoring input
[[1 2 3]
 [4 5 6]]
| Xavier Initialization
| Xavier Initialization
Use Critic:
False
/local_workspace/liudefen/PycharmProjects/PycharmProjects/GraphRL/gcn/models_gcn.py:85: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  features = F.log_softmax(features.t())
epochs 0 loss -463.1950988769531
parameter name actor.gc1.weight parameter value tensor(1.00000e-04 *
       [[-7.0304]], device='cuda:0')
parameter name actor.gc1.bias parameter value tensor([ 1.3975], device='cuda:0')
parameter name actor.gc2.weight parameter value tensor([[-1.2467]], device='cuda:0')
parameter name actor.gc2.bias parameter value tensor(1.00000e-04 *
       [ 2.2029], device='cuda:0')
epochs 2 loss -834.7088775634766
epochs 3 loss -636.9411010742188
epochs 4 loss -397.8803405761719
epochs 5 loss -331.7305374145508
epochs 6 loss -453.41087341308594
epochs 7 loss -124.08855438232422
epochs 8 loss 160.57549285888672
epochs 9 loss -229.74244689941406
epochs 10 loss -245.32839965820312
epochs 11 loss -69.04763793945312
epochs 12 loss -23.74144744873047
epochs 13 loss 221.63608932495117
epochs 14 loss 371.0815544128418
epochs 15 loss 474.77931213378906
epochs 16 loss 353.87197494506836
epochs 17 loss 264.93438148498535
epochs 18 loss 102.71361541748047
epochs 19 loss 197.71156311035156
epochs 20 loss 365.84862518310547
epochs 21 loss 169.80210494995117
epochs 22 loss 298.5368604660034
epochs 23 loss 296.3144721984863
epochs 24 loss 283.6988458633423
epochs 25 loss 487.2665596008301
epochs 26 loss 440.48307037353516
epochs 27 loss 554.841233253479
epochs 28 loss 673.1026563644409
epochs 29 loss 403.88888359069824
epochs 30 loss 360.69493865966797
epochs 31 loss 652.14404296875
epochs 32 loss 862.8053946495056
epochs 33 loss 710.5228319168091
epochs 34 loss 654.9948101043701
epochs 35 loss 955.3198432922363
epochs 36 loss 792.4172286987305
epochs 37 loss 760.1699876785278
epochs 38 loss 902.1118364334106
epochs 39 loss 804.5704154968262
epochs 40 loss 761.314525604248
epochs 41 loss 851.3165435791016
epochs 42 loss 892.2048377990723
epochs 43 loss 928.0247077941895
epochs 44 loss 993.0707836151123
epochs 45 loss 672.8491744995117
epochs 46 loss 822.9603805541992
epochs 47 loss 891.2457733154297
epochs 48 loss 856.875244140625
epochs 49 loss 707.7617607116699
epochs 50 loss 894.0044288635254
epochs 51 loss 914.786003112793
epochs 52 loss 1036.472993850708
epochs 53 loss 1161.883186340332
epochs 54 loss 902.1322860717773
epochs 55 loss 1103.8585891723633
epochs 56 loss 1163.5123596191406
epochs 57 loss 872.5031509399414
epochs 58 loss 1063.8567962646484
epochs 59 loss 1066.4378356933594
epochs 60 loss 932.6153259277344
epochs 61 loss 1048.6714811325073
epochs 62 loss 1016.5461311340332
epochs 63 loss 1056.0332584381104
epochs 64 loss 806.4423370361328
epochs 65 loss 1195.6939239501953
epochs 66 loss 1010.8146324157715
epochs 67 loss 1092.9985723495483
epochs 68 loss 1193.3445091247559
epochs 69 loss 1141.5182495117188
epochs 70 loss 1161.5564632415771
epochs 71 loss 1352.5562171936035
epochs 72 loss 1329.7200202941895
epochs 73 loss 1082.2679996490479
epochs 74 loss 973.4929580688477
epochs 75 loss 1194.2388153076172
epochs 76 loss 953.2692565917969
epochs 77 loss 1053.010025024414
epochs 78 loss 1261.905288696289
epochs 79 loss 1321.7530822753906
epochs 80 loss 1240.4663715362549
