nohup: ignoring input
[[1 2 3]
 [4 5 6]]
| Xavier Initialization
| Xavier Initialization
Use Critic:
False
/local_workspace/liudefen/PycharmProjects/PycharmProjects/PycharmProjects/gnn/GraphRL/gcn/models_gcn.py:85: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  features = F.log_softmax(features.t())
epochs 0 loss -1140.7723388671875
parameter name actor.gc1.weight parameter value tensor(1.00000e-04 *
       [[-7.0304]], device='cuda:0')
parameter name actor.gc1.bias parameter value tensor([ 1.3975], device='cuda:0')
parameter name actor.gc2.weight parameter value tensor([[-1.2467]], device='cuda:0')
parameter name actor.gc2.bias parameter value tensor(1.00000e-04 *
       [ 2.2029], device='cuda:0')
epochs 2 loss -1083.892578125
epochs 3 loss -1306.5936279296875
epochs 4 loss -1153.3344421386719
epochs 5 loss -1346.4168701171875
epochs 6 loss -963.0874328613281
epochs 7 loss -1140.9275817871094
epochs 8 loss -1125.2141418457031
epochs 9 loss -1122.051513671875
epochs 10 loss -3017.245391845703
epochs 11 loss -1115.7019653320312
epochs 12 loss -1135.6974792480469
epochs 13 loss -1375.4100952148438
epochs 14 loss -1405.6484375
epochs 15 loss -1607.93359375
epochs 16 loss -1092.4545593261719
epochs 17 loss -1130.6539611816406
epochs 18 loss -1160.8566589355469
epochs 19 loss -1137.9660034179688
epochs 20 loss -1684.3778686523438
epochs 21 loss -1345.2186584472656
epochs 22 loss -1706.5699462890625
epochs 23 loss -1183.6713256835938
epochs 24 loss -1270.0386047363281
epochs 25 loss -1238.0117797851562
epochs 26 loss -1059.6085815429688
epochs 27 loss -1165.679931640625
epochs 28 loss -1252.2610473632812
epochs 29 loss -1317.3507385253906
epochs 30 loss -1082.3914794921875
epochs 31 loss -1214.9020080566406
epochs 32 loss -1269.3318481445312
epochs 33 loss -1187.0111389160156
epochs 34 loss -6389.291107177734
epochs 35 loss -1103.3467712402344
epochs 36 loss -1058.4232482910156
epochs 37 loss -1315.3006591796875
epochs 38 loss -1809.4700622558594
epochs 39 loss -1440.4783935546875
epochs 40 loss -1171.5799560546875
epochs 41 loss -1209.8560485839844
epochs 42 loss -1189.0094604492188
epochs 43 loss -1310.8145751953125
epochs 44 loss -959.9158630371094
epochs 45 loss -1029.6853942871094
epochs 46 loss -1211.8744201660156
epochs 47 loss -1303.8494873046875
epochs 48 loss -980.5369873046875
epochs 49 loss -1147.8034362792969
epochs 50 loss -1265.1728515625
epochs 51 loss -901.6878051757812
epochs 52 loss -1171.0551452636719
epochs 53 loss -1002.5991516113281
epochs 54 loss -1158.4725036621094
epochs 55 loss -1309.7318115234375
epochs 56 loss -1021.9994506835938
epochs 57 loss -1152.8439636230469
epochs 58 loss -1424.5810546875
epochs 59 loss -1340.4650268554688
epochs 60 loss -1101.8615112304688
epochs 61 loss -1008.4527587890625
epochs 62 loss -1291.3080444335938
epochs 63 loss -1046.508544921875
epochs 64 loss -1197.6750183105469
epochs 65 loss -1039.20361328125
epochs 66 loss -1155.6192932128906
epochs 67 loss -1471.9278259277344
epochs 68 loss -1127.773193359375
epochs 69 loss -1419.36865234375
epochs 70 loss -1156.5592956542969
