nohup: ignoring input
[[1 2 3]
 [4 5 6]]
| Xavier Initialization
| Xavier Initialization
Use Critic:
False
/local_workspace/liudefen/PycharmProjects/PycharmProjects/PycharmProjects/gnn/GraphRL/gcn/models_gcn.py:85: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  features = F.log_softmax(features.t())
epochs 0 loss -465.3736877441406
epoch 0000 gcn2min_degree  train av_ratio 0.918450487796162  validation av_ratio 0.959252104012613
parameter name actor.gc1.weight parameter value tensor(1.00000e-04 *
       [[-7.0304]], device='cuda:0')
parameter name actor.gc1.bias parameter value tensor([ 1.3975], device='cuda:0')
parameter name actor.gc2.weight parameter value tensor([[-1.2467]], device='cuda:0')
parameter name actor.gc2.bias parameter value tensor(1.00000e-04 *
       [ 2.2029], device='cuda:0')
epochs 1 loss -375.5780029296875
epochs 2 loss -477.54571533203125
epochs 3 loss -480.42796325683594
epochs 4 loss -459.64898681640625
epochs 5 loss -508.14781188964844
epochs 6 loss -623.3339996337891
epochs 7 loss -642.3229827880859
epochs 8 loss -674.4927520751953
epochs 9 loss -683.9835739135742
epochs 10 loss -727.861177444458
epochs 11 loss -640.7744522094727
epochs 12 loss -584.3519134521484
epochs 13 loss -426.9480285644531
epochs 14 loss -461.765625
epochs 15 loss -433.93396759033203
epochs 16 loss -541.9936790466309
epochs 17 loss -348.1113967895508
epochs 18 loss -424.35076904296875
epochs 19 loss -298.7693634033203
epochs 20 loss -320.13037109375
epochs 21 loss -448.40087890625
epochs 22 loss -327.79917907714844
epochs 23 loss -458.08831787109375
epochs 24 loss -351.4921417236328
epochs 25 loss -196.57798767089844
epochs 26 loss -359.45640563964844
epochs 27 loss -272.3994903564453
epochs 28 loss -140.15988159179688
epochs 29 loss -256.0010528564453
epochs 30 loss -168.96221923828125
epochs 31 loss 59.103973388671875
epochs 32 loss -96.43399047851562
epochs 33 loss -222.4152069091797
epochs 34 loss -199.43368530273438
epochs 35 loss -17.15613555908203
epochs 36 loss -131.665771484375
epochs 37 loss -187.7255859375
epochs 38 loss -36.39604187011719
epochs 39 loss -243.58871459960938
epochs 40 loss 33.658843994140625
epochs 41 loss -9.817428588867188
epochs 42 loss -68.95008087158203
epochs 43 loss -104.91015625
epochs 44 loss -56.52653503417969
epochs 45 loss 17.1356201171875
epochs 46 loss -193.88856506347656
epochs 47 loss -113.37138366699219
epochs 48 loss 18.985092163085938
epochs 49 loss -83.67845153808594
epochs 50 loss -81.08132934570312
epochs 51 loss -193.68991088867188
