nohup: ignoring input
[[1 2 3]
 [4 5 6]]
| Xavier Initialization
| Xavier Initialization
Use Critic:
False
/local_workspace/liudefen/PycharmProjects/PycharmProjects/GraphRL/gcn/models_gcn.py:85: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  features = F.log_softmax(features.t())
epochs 0 loss -1290.655174255371
parameter name actor.gc1.weight parameter value tensor(1.00000e-02 *
       [[-1.5938]], device='cuda:0')
parameter name actor.gc1.bias parameter value tensor([ 0.], device='cuda:0')
parameter name actor.gc2.weight parameter value tensor(1.00000e-02 *
       [[-1.3048]], device='cuda:0')
parameter name actor.gc2.bias parameter value tensor([ 0.], device='cuda:0')
epochs 2 loss -1314.4473495483398
epochs 3 loss -1304.7618217468262
epochs 4 loss -1268.0151748657227
epochs 5 loss -1261.7154083251953
epochs 6 loss -1302.0527534484863
epochs 7 loss -1304.9922142028809
epochs 8 loss -1274.9696426391602
epochs 9 loss -1241.7463417053223
epochs 10 loss -1312.8471221923828
epochs 11 loss -1276.0309448242188
epochs 12 loss -1335.060157775879
epochs 13 loss -1302.0004959106445
epochs 14 loss -1266.0449714660645
epochs 15 loss -1291.5113143920898
epochs 16 loss -1303.816749572754
epochs 17 loss -1313.7846603393555
epochs 18 loss -1269.670497894287
epochs 19 loss -1308.4076957702637
epochs 20 loss -1284.839340209961
epochs 21 loss -1294.7514381408691
epochs 22 loss -1322.1729469299316
epochs 23 loss -1311.4426822662354
epochs 24 loss -1307.6750679016113
epochs 25 loss -1364.863510131836
epochs 26 loss -1317.926197052002
epochs 27 loss -1321.3970184326172
epochs 28 loss -1354.6057624816895
epochs 29 loss -1312.1336479187012
epochs 30 loss -1284.9122619628906
epochs 31 loss -1311.9009857177734
epochs 32 loss -1326.5332984924316
epochs 33 loss -1300.8694458007812
epochs 34 loss -1245.7192649841309
epochs 35 loss -1361.1264762878418
epochs 36 loss -1270.7364120483398
epochs 37 loss -1277.2270202636719
epochs 38 loss -1315.636245727539
epochs 39 loss -1281.1316242218018
epochs 40 loss -1279.1456756591797
epochs 41 loss -1266.1659927368164
epochs 42 loss -1302.5634155273438
epochs 43 loss -1315.7852935791016
epochs 44 loss -1288.341651916504
epochs 45 loss -1319.5700092315674
epochs 46 loss -1259.33101272583
epochs 47 loss -1245.471534729004
epochs 48 loss -1311.2883110046387
epochs 49 loss -1260.0563926696777
epochs 50 loss -1265.3708953857422
epochs 51 loss -1294.022617340088
epochs 52 loss -1264.3329696655273
epochs 53 loss -1270.405662536621
epochs 54 loss -1253.877326965332
epochs 55 loss -1297.4867973327637
epochs 56 loss -1285.8156490325928
epochs 57 loss -1295.8871421813965
epochs 58 loss -1269.8601150512695
epochs 59 loss -1286.260570526123
epochs 60 loss -1308.7179679870605
epochs 61 loss -1270.278465270996
epochs 62 loss -1280.8757152557373
epochs 63 loss -1286.0142707824707
epochs 64 loss -1260.4173278808594
epochs 65 loss -1274.4530792236328
epochs 66 loss -1311.4848327636719
epochs 67 loss -1256.1888065338135
epochs 68 loss -1310.1891441345215
epochs 69 loss -1319.5505294799805
epochs 70 loss -1314.9617080688477
epochs 71 loss -1293.1096801757812
epochs 72 loss -1271.3015270233154
epochs 73 loss -1306.1751670837402
epochs 74 loss -1301.6953735351562
epochs 75 loss -1282.497817993164
epochs 76 loss -1247.618236541748
epochs 77 loss -1247.454029083252
epochs 78 loss -1332.9953536987305
epochs 79 loss -1329.282615661621
epochs 80 loss -1276.1103057861328
epochs 81 loss -1313.8178539276123
epochs 82 loss -1297.1401634216309
epochs 83 loss -1299.087963104248
epochs 84 loss -1343.5884819030762
epochs 85 loss -1251.6308708190918
epochs 86 loss -1318.6307563781738
epochs 87 loss -1314.0503692626953
epochs 88 loss -1372.6936798095703
epochs 89 loss -1252.012445449829
epochs 90 loss -1295.9966278076172
epochs 91 loss -1266.1020698547363
epochs 92 loss -1276.7924537658691
epochs 93 loss -1250.274185180664
epochs 94 loss -1296.4834022521973
epochs 95 loss -1309.974552154541
epochs 96 loss -1284.170352935791
epochs 97 loss -1322.0781898498535
epochs 98 loss -1285.4360847473145
epochs 99 loss -1363.6677856445312
epochs 100 loss -1298.7783737182617
epochs 101 loss -1339.8741340637207
epochs 102 loss -1286.9886779785156
epochs 103 loss -1329.2889556884766
epochs 104 loss -1306.3328132629395
epochs 105 loss -1258.9921169281006
epochs 106 loss -1349.8886909484863
epochs 107 loss -1265.6697235107422
epochs 108 loss -1364.702205657959
epochs 109 loss -1317.7939796447754
epochs 110 loss -1268.2738304138184
epochs 111 loss -1269.6389694213867
epochs 112 loss -1351.4627647399902
epochs 113 loss -1259.353572845459
epochs 114 loss -1335.7661018371582
epochs 115 loss -1287.9936828613281
epochs 116 loss -1327.8693885803223
epochs 117 loss -1300.027271270752
epochs 118 loss -1271.5319747924805
epochs 119 loss -1323.2539443969727
epochs 120 loss -1319.2474632263184
epochs 121 loss -1296.274055480957
epochs 122 loss -1262.3163452148438
epochs 123 loss -1295.8051300048828
epochs 124 loss -1285.5124740600586
epochs 125 loss -1310.053861618042
epochs 126 loss -1326.6351280212402
epochs 127 loss -1268.4857330322266
epochs 128 loss -1315.6849746704102
epochs 129 loss -1266.2160606384277
epochs 130 loss -1305.2676239013672
epochs 131 loss -1291.509614944458
epochs 132 loss -1245.6160354614258
epochs 133 loss -1233.5063514709473
epochs 134 loss -1275.593837738037
epochs 135 loss -1334.8886795043945
epochs 136 loss -1295.1166305541992
epochs 137 loss -1253.7210540771484
epochs 138 loss -1283.0685920715332
epochs 139 loss -1300.0663681030273
epochs 140 loss -1277.7651824951172
epochs 141 loss -1269.6467247009277
epochs 142 loss -1327.7663955688477
epochs 143 loss -1309.7697219848633
epochs 144 loss -1268.7084999084473
epochs 145 loss -1252.4379844665527
epochs 146 loss -1277.1017227172852
epochs 147 loss -1300.6569061279297
epochs 148 loss -1314.0254516601562
epochs 149 loss -1294.0780029296875
epochs 150 loss -1250.5384254455566
epochs 151 loss -1255.7645454406738
epochs 152 loss -1305.388442993164
epochs 153 loss -1335.2341499328613
epochs 154 loss -1301.1873664855957
epochs 155 loss -1294.3376731872559
epochs 156 loss -1359.4886512756348
epochs 157 loss -1378.9101791381836
epochs 158 loss -1318.8830394744873
epochs 159 loss -1238.7780895233154
epochs 160 loss -1323.8891868591309
epochs 161 loss -1322.9444580078125
epochs 162 loss -1281.3233642578125
epochs 163 loss -1270.3170700073242
epochs 164 loss -1275.0583457946777
epochs 165 loss -1266.36527633667
epochs 166 loss -1302.630516052246
epochs 167 loss -1261.0646667480469
epochs 168 loss -1274.746784210205
epochs 169 loss -1310.4955711364746
epochs 170 loss -1264.413459777832
epochs 171 loss -1327.5071411132812
epochs 172 loss -1286.735050201416
epochs 173 loss -1294.7142066955566
epochs 174 loss -1243.799659729004
epochs 175 loss -1275.91206741333
epochs 176 loss -1259.3092460632324
epochs 177 loss -1257.9997100830078
epochs 178 loss -1304.637508392334
epochs 179 loss -1284.8438568115234
epochs 180 loss -1265.8265342712402
epochs 181 loss -1285.282371520996
epochs 182 loss -1310.39595413208
epochs 183 loss -1302.9150428771973
epochs 184 loss -1259.1852798461914
epochs 185 loss -1287.6247482299805
epochs 186 loss -1258.8971405029297
epochs 187 loss -1302.6499423980713
epochs 188 loss -1318.7856559753418
epochs 189 loss -1279.2193069458008
epochs 190 loss -1330.8694915771484
epochs 191 loss -1302.866813659668
epochs 192 loss -1280.3102798461914
epochs 193 loss -1318.868335723877
epochs 194 loss -1253.949073791504
epochs 195 loss -1301.791301727295
epochs 196 loss -1290.2450523376465
epochs 197 loss -1278.9615230560303
epochs 198 loss -1314.379970550537
epochs 199 loss -1277.3456497192383
epochs 200 loss -1269.1255569458008
epochs 201 loss -1308.8032913208008
epochs 202 loss -1272.1669082641602
epochs 203 loss -1310.889362335205
epochs 204 loss -1265.8860244750977
epochs 205 loss -1280.389030456543
epochs 206 loss -1279.1482238769531
epochs 207 loss -1259.4727363586426
epochs 208 loss -1256.8380241394043
epochs 209 loss -1317.9860343933105
epochs 210 loss -1296.768856048584
epochs 211 loss -1307.7379341125488
epochs 212 loss -1233.4875564575195
epochs 213 loss -1243.8728713989258
epochs 214 loss -1310.1934127807617
epochs 215 loss -1321.3011112213135
epochs 216 loss -1278.733741760254
epochs 217 loss -1283.6108512878418
epochs 218 loss -1272.7618789672852
epochs 219 loss -1328.4252166748047
epochs 220 loss -1295.190071105957
epochs 221 loss -1271.3903350830078
epochs 222 loss -1310.4410667419434
epochs 223 loss -1269.1073684692383
epochs 224 loss -1283.749927520752
epochs 225 loss -1307.7109184265137
epochs 226 loss -1283.3573303222656
epochs 227 loss -1384.495346069336
epochs 228 loss -1235.2724342346191
epochs 229 loss -1289.3522872924805
epochs 230 loss -1332.4241790771484
epochs 231 loss -1316.373691558838
epochs 232 loss -1298.6194458007812
epochs 233 loss -1290.4289016723633
epochs 234 loss -1296.3448638916016
epochs 235 loss -1253.0092391967773
epochs 236 loss -1291.4820671081543
epochs 237 loss -1275.3357734680176
epochs 238 loss -1282.8555030822754
epochs 239 loss -1261.7096328735352
epochs 240 loss -1272.75537109375
epochs 241 loss -1283.8894233703613
epochs 242 loss -1290.8965110778809
epochs 243 loss -1261.5365180969238
epochs 244 loss -1294.922046661377
epochs 245 loss -1284.9256019592285
epochs 246 loss -1274.0840454101562
epochs 247 loss -1273.6809844970703
epochs 248 loss -1352.1526069641113
epochs 249 loss -1270.7652969360352
epochs 250 loss -1251.0428504943848
epochs 251 loss -1219.4511413574219
epochs 252 loss -1252.6009330749512
epochs 253 loss -1275.093894958496
epochs 254 loss -1251.1892585754395
epochs 255 loss -1238.5838203430176
epochs 256 loss -1304.6655578613281
epochs 257 loss -1281.7370223999023
epochs 258 loss -1272.2427024841309
epochs 259 loss -1327.9910736083984
epochs 260 loss -1294.2710609436035
epochs 261 loss -1246.343837738037
epochs 262 loss -1281.8232078552246
epochs 263 loss -1317.6993236541748
epochs 264 loss -1258.2708549499512
epochs 265 loss -1275.6848907470703
epochs 266 loss -1291.6565055847168
epochs 267 loss -1240.4952373504639
epochs 268 loss -1302.8222694396973
epochs 269 loss -1310.050437927246
epochs 270 loss -1282.2115020751953
epochs 271 loss -1256.580825805664
epochs 272 loss -1329.695442199707
epochs 273 loss -1304.3522605895996
epochs 274 loss -1231.6350421905518
epochs 275 loss -1314.6540908813477
epochs 276 loss -1292.0854721069336
epochs 277 loss -1247.4353332519531
epochs 278 loss -1270.694248199463
epochs 279 loss -1294.1649627685547
epochs 280 loss -1294.0098266601562
epochs 281 loss -1341.86616897583
epochs 282 loss -1274.6538772583008
epochs 283 loss -1306.3001880645752
epochs 284 loss -1307.6309623718262
epochs 285 loss -1274.695644378662
epochs 286 loss -1270.946201324463
epochs 287 loss -1254.0988082885742
epochs 288 loss -1240.3678817749023
epochs 289 loss -1275.5338401794434
epochs 290 loss -1279.650478363037
epochs 291 loss -1297.6414489746094
epochs 292 loss -1312.9621772766113
epochs 293 loss -1288.682014465332
epochs 294 loss -1363.511589050293
epochs 295 loss -1294.3832893371582
epochs 296 loss -1334.4821758270264
epochs 297 loss -1299.8172187805176
epochs 298 loss -1293.3423652648926
epochs 299 loss -1277.7131690979004
epochs 300 loss -1319.118350982666
epochs 301 loss -1260.2936553955078
epochs 302 loss -1280.3397178649902
epochs 303 loss -1270.1199798583984
epochs 304 loss -1329.6270751953125
epochs 305 loss -1319.8422584533691
epochs 306 loss -1266.7283897399902
epochs 307 loss -1273.3768310546875
epochs 308 loss -1347.2926177978516
epochs 309 loss -1314.6520767211914
epochs 310 loss -1298.311378479004
epochs 311 loss -1360.9571685791016
epochs 312 loss -1227.2205295562744
epochs 313 loss -1323.161563873291
epochs 314 loss -1253.439115524292
epochs 315 loss -1363.7605285644531
epochs 316 loss -1314.3263053894043
epochs 317 loss -1329.37553024292
epochs 318 loss -1249.673770904541
epochs 319 loss -1260.3706684112549
epochs 320 loss -1278.8771514892578
epochs 321 loss -1322.8132057189941
epochs 322 loss -1319.5807762145996
epochs 323 loss -1306.5050354003906
epochs 324 loss -1278.2954902648926
epochs 325 loss -1302.8849906921387
epochs 326 loss -1291.1858978271484
epochs 327 loss -1325.7392578125
epochs 328 loss -1313.2690830230713
epochs 329 loss -1279.4363861083984
epochs 330 loss -1294.3738594055176
epochs 331 loss -1382.6682720184326
epochs 332 loss -1264.1072158813477
epochs 333 loss -1286.2750701904297
epochs 334 loss -1281.2311706542969
epochs 335 loss -1278.1054344177246
epochs 336 loss -1260.4406394958496
epochs 337 loss -1326.6802883148193
epochs 338 loss -1296.6677932739258
epochs 339 loss -1292.6418571472168
epochs 340 loss -1267.9248847961426
epochs 341 loss -1349.4383735656738
epochs 342 loss -1315.971981048584
epochs 343 loss -1311.1308822631836
epochs 344 loss -1292.3650436401367
epochs 345 loss -1226.6034832000732
epochs 346 loss -1311.4442958831787
epochs 347 loss -1314.888572692871
epochs 348 loss -1281.2756042480469
epochs 349 loss -1331.0659561157227
epochs 350 loss -1259.6074028015137
epochs 351 loss -1256.2999153137207
epochs 352 loss -1315.5550842285156
epochs 353 loss -1322.3116054534912
epochs 354 loss -1253.6572341918945
epochs 355 loss -1318.5219116210938
epochs 356 loss -1316.9142684936523
epochs 357 loss -1265.9176025390625
epochs 358 loss -1286.3837051391602
epochs 359 loss -1242.567138671875
epochs 360 loss -1278.2784843444824
epochs 361 loss -1304.0900573730469
epochs 362 loss -1274.8657569885254
epochs 363 loss -1315.7231216430664
epochs 364 loss -1286.4253959655762
epochs 365 loss -1295.0109176635742
epochs 366 loss -1323.7607040405273
epochs 367 loss -1316.042709350586
epochs 368 loss -1230.6541061401367
epochs 369 loss -1286.1329040527344
epochs 370 loss -1321.5743408203125
epochs 371 loss -1275.5042400360107
epochs 372 loss -1275.390769958496
epochs 373 loss -1272.8538646697998
epochs 374 loss -1314.6066131591797
epochs 375 loss -1264.9511680603027
epochs 376 loss -1312.8201446533203
epochs 377 loss -1332.9016914367676
epochs 378 loss -1271.218349456787
epochs 379 loss -1295.6790580749512
epochs 380 loss -1306.6305904388428
epochs 381 loss -1305.763292312622
epochs 382 loss -1318.2046813964844
epochs 383 loss -1288.301124572754
epochs 384 loss -1260.7294425964355
epochs 385 loss -1299.702320098877
epochs 386 loss -1223.02054977417
epochs 387 loss -1329.8531227111816
epochs 388 loss -1316.9911212921143
epochs 389 loss -1259.7432899475098
epochs 390 loss -1251.492603302002
epochs 391 loss -1262.7864418029785
epochs 392 loss -1287.206241607666
epochs 393 loss -1299.1351890563965
epochs 394 loss -1252.369499206543
epochs 395 loss -1277.6229095458984
epochs 396 loss -1314.196304321289
epochs 397 loss -1321.9908027648926
epochs 398 loss -1285.060634613037
epochs 399 loss -1341.3055725097656
epochs 400 loss -1292.0541877746582
epochs 401 loss -1292.8324089050293
epochs 402 loss -1279.2959327697754
epochs 403 loss -1327.7355422973633
epochs 404 loss -1324.0811748504639
epochs 405 loss -1264.376838684082
epochs 406 loss -1314.0401992797852
epochs 407 loss -1313.5323905944824
epochs 408 loss -1308.5204696655273
epochs 409 loss -1254.2029571533203
epochs 410 loss -1294.2739334106445
epochs 411 loss -1269.5096244812012
epochs 412 loss -1313.5025424957275
epochs 413 loss -1331.6419715881348
epochs 414 loss -1249.8530807495117
epochs 415 loss -1237.6057968139648
epochs 416 loss -1315.3995246887207
epochs 417 loss -1299.2800025939941
epochs 418 loss -1274.7879180908203
epochs 419 loss -1314.4528770446777
epochs 420 loss -1257.9748191833496
epochs 421 loss -1305.0604057312012
epochs 422 loss -1280.3348579406738
epochs 423 loss -1305.9143867492676
epochs 424 loss -1308.6403198242188
epochs 425 loss -1243.0172386169434
epochs 426 loss -1270.670883178711
epochs 427 loss -1306.38862991333
epochs 428 loss -1305.9028968811035
epochs 429 loss -1275.1845321655273
epochs 430 loss -1254.09232711792
epochs 431 loss -1317.3160934448242
epochs 432 loss -1314.1412506103516
epochs 433 loss -1269.6415367126465
epochs 434 loss -1288.9907989501953
epochs 435 loss -1240.7419815063477
epochs 436 loss -1299.368019104004
epochs 437 loss -1264.4109992980957
epochs 438 loss -1322.7453880310059
epochs 439 loss -1303.697509765625
epochs 440 loss -1317.3397674560547
epochs 441 loss -1311.0876922607422
epochs 442 loss -1304.2538261413574
epochs 443 loss -1288.816146850586
epochs 444 loss -1305.3966903686523
epochs 445 loss -1270.3746223449707
epochs 446 loss -1292.9950942993164
epochs 447 loss -1284.539867401123
epochs 448 loss -1257.998935699463
epochs 449 loss -1323.029369354248
epochs 450 loss -1272.0277824401855
epochs 451 loss -1303.1115989685059
epochs 452 loss -1315.1569595336914
epochs 453 loss -1274.0585250854492
epochs 454 loss -1293.9365730285645
epochs 455 loss -1210.5621604919434
epochs 456 loss -1320.6904067993164
epochs 457 loss -1317.697338104248
epochs 458 loss -1321.930648803711
epochs 459 loss -1277.254653930664
epochs 460 loss -1312.9916553497314
epochs 461 loss -1247.9991645812988
epochs 462 loss -1253.252010345459
epochs 463 loss -1301.698097229004
epochs 464 loss -1340.2329940795898
epochs 465 loss -1288.447208404541
epochs 466 loss -1268.8814754486084
epochs 467 loss -1307.4637451171875
epochs 468 loss -1290.5544414520264
epochs 469 loss -1282.9584159851074
epochs 470 loss -1273.2583198547363
epochs 471 loss -1281.3210906982422
epochs 472 loss -1261.9508247375488
epochs 473 loss -1279.6318264007568
epochs 474 loss -1264.2199020385742
epochs 475 loss -1308.5229148864746
epochs 476 loss -1279.6720695495605
epochs 477 loss -1277.8540267944336
epochs 478 loss -1331.0057907104492
epochs 479 loss -1297.9195671081543
epochs 480 loss -1258.9006843566895
epochs 481 loss -1280.4745140075684
epochs 482 loss -1266.4334564208984
epochs 483 loss -1307.5247802734375
epochs 484 loss -1286.5488548278809
epochs 485 loss -1268.2492637634277
epochs 486 loss -1276.169231414795
epochs 487 loss -1317.1398277282715
epochs 488 loss -1303.3566360473633
epochs 489 loss -1336.3890380859375
