nohup: ignoring input
[[1 2 3]
 [4 5 6]]
| Xavier Initialization
| Xavier Initialization
Use Critic:
False
/local_workspace/liudefen/PycharmProjects/PycharmProjects/GraphRL/gcn/models_gcn.py:85: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  features = F.log_softmax(features.t())
epochs 0 loss 5674.361717224121
parameter name actor.gc1.weight parameter value tensor(1.00000e-03 *
       [[ 9.7759]], device='cuda:0')
parameter name actor.gc1.bias parameter value tensor([ 1.9047], device='cuda:0')
parameter name actor.gc2.weight parameter value tensor([[-1.8880]], device='cuda:0')
parameter name actor.gc2.bias parameter value tensor(1.00000e-04 *
       [-2.2827], device='cuda:0')
epochs 2 loss 5625.886657714844
epochs 3 loss 5685.570953369141
epochs 4 loss 5717.883285522461
epochs 5 loss 5691.031051635742
epochs 6 loss 5806.598556518555
epochs 7 loss 5768.943252563477
epochs 8 loss 5782.297592163086
epochs 9 loss 5726.518966674805
epochs 10 loss 5773.533996582031
epochs 11 loss 5772.073257446289
epochs 12 loss 5766.062881469727
epochs 13 loss 5811.969131469727
epochs 14 loss 5832.520477294922
epochs 15 loss 5832.748397827148
epochs 16 loss 5804.567932128906
epochs 17 loss 5799.914421081543
epochs 18 loss 5812.798965454102
epochs 19 loss 5869.1746826171875
epochs 20 loss 5860.330596923828
epochs 21 loss 5863.0449295043945
epochs 22 loss 5843.512176513672
epochs 23 loss 5821.645355224609
epochs 24 loss 5834.926086425781
epochs 25 loss 5853.197174072266
epochs 26 loss 5902.998565673828
epochs 27 loss 5878.123596191406
epochs 28 loss 5870.662628173828
epochs 29 loss 5874.8021240234375
epochs 30 loss 5876.338348388672
epochs 31 loss 5872.560836791992
epochs 32 loss 5868.253372192383
epochs 33 loss 5837.250228881836
epochs 34 loss 5862.575103759766
epochs 35 loss 5893.788391113281
epochs 36 loss 5880.912078857422
epochs 37 loss 5884.818893432617
epochs 38 loss 5862.602935791016
epochs 39 loss 5893.701797485352
epochs 40 loss 5861.4276123046875
epochs 41 loss 5854.655914306641
epochs 42 loss 5846.3195724487305
epochs 43 loss 5863.6552658081055
epochs 44 loss 5906.908721923828
epochs 45 loss 5857.932861328125
epochs 46 loss 5820.278961181641
epochs 47 loss 5903.233047485352
epochs 48 loss 5872.975372314453
epochs 49 loss 5860.829971313477
epochs 50 loss 5859.986923217773
