nohup: ignoring input
[[1 2 3]
 [4 5 6]]
| Xavier Initialization
| Xavier Initialization
Use Critic:
False
/local_workspace/liudefen/PycharmProjects/PycharmProjects/GraphRL/gcn/models_gcn.py:85: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  features = F.log_softmax(features.t())
epochs 0 loss -17.513620376586914
parameter name actor.gc1.weight parameter value tensor(1.00000e-02 *
       [[-1.5938]], device='cuda:0')
parameter name actor.gc1.bias parameter value tensor([ 0.], device='cuda:0')
parameter name actor.gc2.weight parameter value tensor(1.00000e-02 *
       [[-1.3048]], device='cuda:0')
parameter name actor.gc2.bias parameter value tensor([ 0.], device='cuda:0')
epochs 2 loss -25.703076362609863
epochs 3 loss -13.322837829589844
epochs 4 loss -20.558676719665527
epochs 5 loss -10.658679008483887
epochs 6 loss -34.94170379638672
epochs 7 loss -96.6066198348999
epochs 8 loss -24.436216831207275
epochs 9 loss -62.51365661621094
epochs 10 loss -127.66587257385254
epochs 11 loss -67.09974479675293
epochs 12 loss -83.46211004257202
epochs 13 loss -48.67658042907715
epochs 14 loss -93.65273761749268
epochs 15 loss -99.03187274932861
epochs 16 loss -58.431185722351074
epochs 17 loss -22.102545261383057
epochs 18 loss -36.31688070297241
epochs 19 loss -38.30298852920532
epochs 20 loss -33.414666175842285
epochs 21 loss -5.664822101593018
epochs 22 loss -31.745574951171875
epochs 23 loss -37.96848964691162
epochs 24 loss -40.09593677520752
epochs 25 loss 3.7198944091796875
epochs 26 loss -5.385430812835693
epochs 27 loss -44.156672954559326
epochs 28 loss -29.545462131500244
epochs 29 loss -26.440213203430176
epochs 30 loss -12.768675804138184
epochs 31 loss -21.73926067352295
epochs 32 loss -23.716596603393555
epochs 33 loss -15.488525390625
epochs 34 loss -26.87538194656372
epochs 35 loss -29.66538906097412
epochs 36 loss -40.400142669677734
epochs 37 loss -10.891011238098145
epochs 38 loss -34.810529708862305
epochs 39 loss -25.976021766662598
epochs 40 loss -13.510798931121826
epochs 41 loss -22.393970489501953
epochs 42 loss -27.135046005249023
epochs 43 loss -14.164700508117676
epochs 44 loss -23.9110164642334
epochs 45 loss -42.833346366882324
epochs 46 loss -36.24952983856201
epochs 47 loss -27.32518482208252
epochs 48 loss -5.4297051429748535
epochs 49 loss -16.95822525024414
epochs 50 loss -20.76608943939209
epochs 51 loss -28.669813632965088
epochs 52 loss -29.43025302886963
epochs 53 loss -33.47551727294922
epochs 54 loss -26.871747970581055
epochs 55 loss -24.1303973197937
epochs 56 loss -32.436421394348145
epochs 57 loss -8.162957191467285
epochs 58 loss -33.73249626159668
epochs 59 loss 22.419386863708496
epochs 60 loss -32.55174446105957
epochs 61 loss -11.400296211242676
epochs 62 loss -41.94528865814209
epochs 63 loss -12.891453742980957
epochs 64 loss -39.429139137268066
epochs 65 loss -18.63474750518799
epochs 66 loss -15.584477424621582
epochs 67 loss -10.933476448059082
epochs 68 loss -33.55086040496826
epochs 69 loss -17.62015724182129
epochs 70 loss -3.6990060806274414
epochs 71 loss -24.883438110351562
epochs 72 loss -4.752689838409424
epochs 73 loss -21.2625732421875
epochs 74 loss -25.11054039001465
epochs 75 loss -13.606982707977295
epochs 76 loss -12.565529823303223
epochs 77 loss -28.024913787841797
epochs 78 loss -23.64370059967041
epochs 79 loss -18.184031009674072
epochs 80 loss -10.213631629943848
epochs 81 loss -23.134064197540283
epochs 82 loss -21.589412212371826
epochs 83 loss -29.356589317321777
epochs 84 loss -24.495262145996094
epochs 85 loss -11.023104667663574
epochs 86 loss -28.185024738311768
epochs 87 loss -26.88118076324463
epochs 88 loss -27.542656898498535
epochs 89 loss -25.696327686309814
epochs 90 loss -27.620094299316406
epochs 91 loss -8.289780616760254
epochs 92 loss -18.270099639892578
epochs 93 loss -22.85357666015625
epochs 94 loss -25.83553409576416
epochs 95 loss -22.0920352935791
epochs 96 loss -9.81103229522705
epochs 97 loss -22.003250122070312
epochs 98 loss -18.720691680908203
epochs 99 loss -18.759302139282227
epochs 100 loss -29.104198455810547
epochs 101 loss -16.68541145324707
epochs 102 loss -32.109848976135254
epochs 103 loss -49.146671295166016
epochs 104 loss -16.777016162872314
epochs 105 loss -33.205556869506836
epochs 106 loss -22.023816108703613
epochs 107 loss -28.784971237182617
epochs 108 loss -27.780988693237305
epochs 109 loss -40.123329162597656
epochs 110 loss -10.943301677703857
epochs 111 loss -12.04468822479248
epochs 112 loss -27.076111793518066
epochs 113 loss -21.345181465148926
epochs 114 loss -31.4660382270813
epochs 115 loss -18.833367347717285
epochs 116 loss -37.35796070098877
epochs 117 loss -22.632529258728027
epochs 118 loss -32.77117729187012
epochs 119 loss -32.586730003356934
epochs 120 loss -29.89488410949707
epochs 121 loss -34.43953514099121
epochs 122 loss -18.849307537078857
epochs 123 loss -36.68405723571777
epochs 124 loss 0.036290645599365234
epochs 125 loss -16.816102981567383
epochs 126 loss -3.8761849403381348
epochs 127 loss -2.788303852081299
epochs 128 loss -0.6104607582092285
epochs 129 loss -23.418986320495605
epochs 130 loss -19.560153007507324
epochs 131 loss -14.409502029418945
epochs 132 loss -29.657663345336914
epochs 133 loss -28.141963005065918
epochs 134 loss -11.190963745117188
epochs 135 loss -18.591944217681885
epochs 136 loss -0.24718189239501953
epochs 137 loss -6.355756759643555
epochs 138 loss -37.82085418701172
epochs 139 loss -31.314498901367188
epochs 140 loss -30.853954792022705
epochs 141 loss -0.830380916595459
epochs 142 loss -18.911690711975098
epochs 143 loss -1.4042925834655762
epochs 144 loss -13.43094539642334
epochs 145 loss -14.989368438720703
epochs 146 loss -15.8968186378479
epochs 147 loss -31.46273136138916
epochs 148 loss -33.64507436752319
epochs 149 loss -35.92484474182129
epochs 150 loss -27.58668279647827
epochs 151 loss -28.862234115600586
epochs 152 loss -39.98037528991699
epochs 153 loss -19.493423461914062
epochs 154 loss 4.206933975219727
epochs 155 loss -26.214747428894043
epochs 156 loss 6.470389366149902
epochs 157 loss -12.883021354675293
epochs 158 loss -32.499688148498535
epochs 159 loss -18.814027786254883
epochs 160 loss -21.33136558532715
epochs 161 loss -26.517780303955078
epochs 162 loss -15.021121978759766
epochs 163 loss -33.711989402770996
epochs 164 loss -18.932485580444336
epochs 165 loss -15.355873107910156
epochs 166 loss -32.68381309509277
epochs 167 loss -19.99958610534668
epochs 168 loss -10.69779634475708
epochs 169 loss -36.69605827331543
epochs 170 loss -33.080626010894775
epochs 171 loss -5.480015754699707
epochs 172 loss -19.62347412109375
epochs 173 loss -2.51883602142334
epochs 174 loss -13.316908836364746
epochs 175 loss -8.101113319396973
epochs 176 loss -18.031899452209473
epochs 177 loss -39.82346248626709
epochs 178 loss -23.910949230194092
epochs 179 loss -39.64397048950195
epochs 180 loss -10.661532402038574
epochs 181 loss -6.269528388977051
epochs 182 loss -18.998964309692383
epochs 183 loss -24.363579273223877
epochs 184 loss -14.888949394226074
epochs 185 loss -33.26317501068115
epochs 186 loss -18.979073524475098
epochs 187 loss -23.91415786743164
epochs 188 loss -27.26875925064087
epochs 189 loss -18.31032085418701
epochs 190 loss -38.29410266876221
epochs 191 loss -20.61793804168701
epochs 192 loss -14.870865821838379
epochs 193 loss -21.82155752182007
epochs 194 loss -1.825972557067871
epochs 195 loss -24.514517307281494
epochs 196 loss 10.091485500335693
epochs 197 loss -35.713990211486816
epochs 198 loss -12.03581428527832
epochs 199 loss -18.48217010498047
epochs 200 loss -11.418872833251953
epochs 201 loss -36.14965629577637
epochs 202 loss 1.251878261566162
epochs 203 loss -38.89332294464111
epochs 204 loss -6.598633766174316
epochs 205 loss -21.63835620880127
epochs 206 loss -26.87194013595581
epochs 207 loss -18.23037815093994
epochs 208 loss -37.966668128967285
epochs 209 loss -8.77626371383667
epochs 210 loss -17.533840656280518
epochs 211 loss -33.43082523345947
epochs 212 loss -34.60184860229492
epochs 213 loss -1.8661518096923828
epochs 214 loss -37.57737350463867
epochs 215 loss -19.686378479003906
epochs 216 loss 2.9653539657592773
epochs 217 loss 3.108250617980957
epochs 218 loss -41.25731086730957
epochs 219 loss -13.927953720092773
epochs 220 loss -15.75481128692627
epochs 221 loss -21.974889755249023
epochs 222 loss -16.56097650527954
epochs 223 loss -20.174654960632324
epochs 224 loss -26.277074813842773
epochs 225 loss -28.188271522521973
epochs 226 loss -9.270660400390625
epochs 227 loss -20.203367233276367
epochs 228 loss -27.07941436767578
epochs 229 loss -33.44188070297241
epochs 230 loss -27.93374538421631
epochs 231 loss -1.4091768264770508
epochs 232 loss -2.633124828338623
epochs 233 loss -18.75746726989746
epochs 234 loss -40.24967384338379
epochs 235 loss -18.792357444763184
epochs 236 loss -14.349778175354004
epochs 237 loss -25.275615692138672
epochs 238 loss -22.998947620391846
epochs 239 loss -20.95028066635132
epochs 240 loss -41.17348670959473
epochs 241 loss -15.408483028411865
epochs 242 loss -8.968845844268799
epochs 243 loss -22.475727081298828
epochs 244 loss -33.48187732696533
epochs 245 loss -28.941574096679688
epochs 246 loss -21.361815452575684
epochs 247 loss -25.481735229492188
epochs 248 loss -11.365434169769287
epochs 249 loss -39.092323303222656
epochs 250 loss -30.4392032623291
epochs 251 loss 2.7934298515319824
epochs 252 loss -20.875030517578125
epochs 253 loss -40.73910093307495
epochs 254 loss -4.543963432312012
epochs 255 loss -17.547146320343018
epochs 256 loss -29.410213947296143
epochs 257 loss -22.215288162231445
epochs 258 loss -28.86464023590088
epochs 259 loss -30.574923515319824
epochs 260 loss 14.575681209564209
epochs 261 loss -21.819705963134766
epochs 262 loss -22.408202171325684
epochs 263 loss -6.500288009643555
epochs 264 loss -21.353747844696045
epochs 265 loss -15.49963092803955
epochs 266 loss -27.58000659942627
epochs 267 loss -4.865009784698486
epochs 268 loss -17.569538116455078
epochs 269 loss -34.49966049194336
epochs 270 loss -18.59528350830078
epochs 271 loss -26.571351051330566
epochs 272 loss -17.547781944274902
epochs 273 loss -21.186899185180664
epochs 274 loss -25.351726531982422
epochs 275 loss -28.22530460357666
epochs 276 loss -39.236671447753906
epochs 277 loss -20.10780096054077
epochs 278 loss -22.17111825942993
epochs 279 loss -13.998139381408691
epochs 280 loss -16.935059547424316
epochs 281 loss -23.072686672210693
epochs 282 loss -17.259461402893066
epochs 283 loss -8.224806785583496
epochs 284 loss -27.67255401611328
epochs 285 loss -40.400039196014404
epochs 286 loss -28.661590576171875
epochs 287 loss -39.086337089538574
epochs 288 loss -19.417120456695557
epochs 289 loss -20.90995168685913
epochs 290 loss -34.243096351623535
epochs 291 loss -43.758727073669434
epochs 292 loss -26.69195556640625
epochs 293 loss -20.671385765075684
epochs 294 loss 5.20168399810791
epochs 295 loss -26.24351978302002
epochs 296 loss -28.03792667388916
epochs 297 loss -24.599722862243652
epochs 298 loss -41.99919891357422
epochs 299 loss 8.56369400024414
epochs 300 loss -14.050212860107422
epochs 301 loss -22.20823335647583
epochs 302 loss -12.410826206207275
epochs 303 loss -24.336254119873047
epochs 304 loss -22.861610412597656
epochs 305 loss -27.003559112548828
epochs 306 loss -30.86722469329834
epochs 307 loss -13.733142852783203
epochs 308 loss -35.81710624694824
epochs 309 loss -26.43117046356201
epochs 310 loss -27.19825839996338
epochs 311 loss -31.6474609375
epochs 312 loss -40.4927282333374
epochs 313 loss -25.908482551574707
