nohup: ignoring input
[[1 2 3]
 [4 5 6]]
| Xavier Initialization
| Xavier Initialization
Use Critic:
False
/local_workspace/liudefen/PycharmProjects/PycharmProjects/GraphRL/gcn/models_gcn.py:85: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  features = F.log_softmax(features.t())
epochs 0 loss 89.33579635620117
parameter name actor.gc1.weight parameter value tensor(1.00000e-04 *
       [[-7.0304]], device='cuda:0')
parameter name actor.gc1.bias parameter value tensor([ 1.3975], device='cuda:0')
parameter name actor.gc2.weight parameter value tensor([[-1.2467]], device='cuda:0')
parameter name actor.gc2.bias parameter value tensor(1.00000e-04 *
       [ 2.2029], device='cuda:0')
epochs 2 loss 187.31490325927734
epochs 3 loss 75.9840636253357
epochs 4 loss 60.272732734680176
epochs 5 loss 104.6323413848877
epochs 6 loss 115.10052299499512
epochs 7 loss 17.087656021118164
epochs 8 loss 171.12231254577637
epochs 9 loss 56.964630126953125
epochs 10 loss 82.74028491973877
epochs 11 loss 49.632439613342285
epochs 12 loss 7.335144996643066
epochs 13 loss 58.752989768981934
epochs 14 loss 139.99718284606934
epochs 15 loss -8.928821563720703
epochs 16 loss -7.634140968322754
epochs 17 loss 77.78357887268066
epochs 18 loss -23.953794479370117
epochs 19 loss 48.53438949584961
epochs 20 loss 67.35378074645996
epochs 21 loss -39.9002685546875
epochs 22 loss 38.42003154754639
epochs 23 loss -24.757198810577393
epochs 24 loss 190.32383728027344
epochs 25 loss 115.81134033203125
epochs 26 loss 106.0700454711914
epochs 27 loss 65.9246940612793
epochs 28 loss 39.3022346496582
epochs 29 loss 72.88067150115967
epochs 30 loss 44.14503192901611
epochs 31 loss 4.610688209533691
epochs 32 loss 125.56541442871094
epochs 33 loss 50.8519401550293
epochs 34 loss 185.10210037231445
epochs 35 loss 181.5028190612793
epochs 36 loss 161.28103256225586
epochs 37 loss 27.17704725265503
epochs 38 loss 194.17859268188477
epochs 39 loss 5.289284706115723
epochs 40 loss 178.70285511016846
epochs 41 loss 152.88943099975586
epochs 42 loss 75.46866846084595
epochs 43 loss 122.63395690917969
epochs 44 loss 93.813232421875
epochs 45 loss 100.63650512695312
epochs 46 loss 41.44918441772461
epochs 47 loss 139.1488847732544
epochs 48 loss 7.502908706665039
epochs 49 loss -34.651004791259766
epochs 50 loss 6.8902435302734375
epochs 51 loss 43.10783004760742
epochs 52 loss 17.48937225341797
epochs 53 loss -49.1831488609314
epochs 54 loss 19.355910778045654
epochs 55 loss 61.34513759613037
epochs 56 loss -76.70644760131836
epochs 57 loss 42.08264923095703
epochs 58 loss -21.648998260498047
epochs 59 loss 31.331610679626465
epochs 60 loss -19.384065628051758
epochs 61 loss 32.74165058135986
epochs 62 loss 33.34161949157715
epochs 63 loss 90.46188449859619
epochs 64 loss 60.94379997253418
epochs 65 loss -6.232588768005371
epochs 66 loss 29.43583869934082
epochs 67 loss 76.72964286804199
epochs 68 loss 101.46087312698364
epochs 69 loss -12.64160442352295
epochs 70 loss 5.6815338134765625
epochs 71 loss 28.43497657775879
epochs 72 loss 67.76991748809814
epochs 73 loss 33.77898597717285
epochs 74 loss 103.75160598754883
epochs 75 loss 47.22019958496094
epochs 76 loss 59.892205238342285
epochs 77 loss 124.83782958984375
epochs 78 loss 77.18563604354858
epochs 79 loss -15.527158737182617
epochs 80 loss 29.610349655151367
epochs 81 loss 35.994380950927734
epochs 82 loss 11.44659423828125
epochs 83 loss -7.911383152008057
epochs 84 loss 32.29106140136719
epochs 85 loss 57.0745210647583
epochs 86 loss -42.59406566619873
epochs 87 loss 42.522260665893555
epochs 88 loss -16.347946166992188
epochs 89 loss -25.349040031433105
epochs 90 loss 30.03839683532715
epochs 91 loss -2.604620933532715
epochs 92 loss 89.71230602264404
epochs 93 loss 88.06864833831787
epochs 94 loss -86.89030838012695
epochs 95 loss 14.460175514221191
epochs 96 loss 92.99696731567383
epochs 97 loss 53.173011779785156
epochs 98 loss 14.720200538635254
epochs 99 loss 69.68170928955078
epochs 100 loss -7.706769943237305
epochs 101 loss 79.20199203491211
epochs 102 loss 12.600194931030273
epochs 103 loss 137.19526958465576
epochs 104 loss -54.21078872680664
epochs 105 loss 132.06765270233154
epochs 106 loss 19.692459106445312
epochs 107 loss 43.937957763671875
epochs 108 loss 21.142656326293945
epochs 109 loss -57.62663555145264
epochs 110 loss -3.977762222290039
epochs 111 loss 191.1854305267334
epochs 112 loss 96.1220932006836
epochs 113 loss 12.520500183105469
epochs 114 loss 2.3706932067871094
epochs 115 loss -13.741779804229736
epochs 116 loss 12.446016311645508
epochs 117 loss -16.21422576904297
epochs 118 loss 94.83525228500366
epochs 119 loss 46.539422035217285
epochs 120 loss 90.17600393295288
epochs 121 loss 54.456552505493164
epochs 122 loss 37.20314168930054
epochs 123 loss -3.2675790786743164
epochs 124 loss 42.00442028045654
epochs 125 loss 39.83455157279968
epochs 126 loss -1.8211174011230469
epochs 127 loss 77.97931289672852
epochs 128 loss 54.09987258911133
epochs 129 loss 152.49627685546875
epochs 130 loss 84.97895812988281
epochs 131 loss 91.9128942489624
epochs 132 loss 74.6498851776123
epochs 133 loss 102.66598701477051
epochs 134 loss 103.22160720825195
epochs 135 loss 56.20945501327515
epochs 136 loss 71.90326881408691
epochs 137 loss 15.546329498291016
epochs 138 loss 205.08853387832642
epochs 139 loss 82.101815700531
epochs 140 loss 86.48461532592773
epochs 141 loss 148.59170770645142
epochs 142 loss 99.11971282958984
epochs 143 loss 62.53743028640747
epochs 144 loss 89.37457180023193
epochs 145 loss 28.661948680877686
epochs 146 loss 123.22333526611328
epochs 147 loss 20.0772762298584
epochs 148 loss 62.729000091552734
epochs 149 loss -8.53914737701416
epochs 150 loss 5.535957336425781
epochs 151 loss 54.28433799743652
epochs 152 loss 91.98497867584229
epochs 153 loss 22.70833969116211
epochs 154 loss 29.160232543945312
epochs 155 loss 74.98158264160156
epochs 156 loss 119.08892059326172
epochs 157 loss 151.58983039855957
epochs 158 loss 60.2749137878418
epochs 159 loss 155.8564052581787
epochs 160 loss 96.25487017631531
epochs 161 loss 120.131422996521
epochs 162 loss 162.06066226959229
