nohup: ignoring input
[[1 2 3]
 [4 5 6]]
| Xavier Initialization
| Xavier Initialization
Use Critic:
False
/local_workspace/liudefen/PycharmProjects/PycharmProjects/GraphRL/gcn/models_gcn.py:85: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  features = F.log_softmax(features.t())
epochs 0 loss -886.3802127838135
parameter name actor.gc1.weight parameter value tensor(1.00000e-02 *
       [[-1.5938]], device='cuda:0')
parameter name actor.gc1.bias parameter value tensor([ 0.], device='cuda:0')
parameter name actor.gc2.weight parameter value tensor(1.00000e-02 *
       [[-1.3048]], device='cuda:0')
parameter name actor.gc2.bias parameter value tensor([ 0.], device='cuda:0')
epochs 2 loss -899.0631351470947
epochs 3 loss -907.6376953125
epochs 4 loss -898.4208545684814
epochs 5 loss -910.7505207061768
epochs 6 loss -887.5235347747803
epochs 7 loss -883.7002277374268
epochs 8 loss -894.3566493988037
epochs 9 loss -887.2482013702393
epochs 10 loss -892.586986541748
epochs 11 loss -901.0751209259033
epochs 12 loss -894.5014801025391
epochs 13 loss -896.05055809021
epochs 14 loss -886.0256099700928
epochs 15 loss -892.0071144104004
epochs 16 loss -897.4445362091064
epochs 17 loss -891.5727462768555
epochs 18 loss -899.2075328826904
epochs 19 loss -894.9897975921631
epochs 20 loss -896.9275341033936
epochs 21 loss -896.414098739624
epochs 22 loss -900.0053615570068
epochs 23 loss -920.7909488677979
epochs 24 loss -890.9808216094971
epochs 25 loss -911.5180587768555
epochs 26 loss -906.150312423706
epochs 27 loss -898.2501430511475
epochs 28 loss -902.5645122528076
epochs 29 loss -925.552396774292
epochs 30 loss -881.496166229248
epochs 31 loss -899.0910263061523
epochs 32 loss -898.5697498321533
epochs 33 loss -896.3349514007568
epochs 34 loss -896.1406669616699
epochs 35 loss -897.4138813018799
epochs 36 loss -896.6447257995605
epochs 37 loss -902.4623680114746
epochs 38 loss -898.1912860870361
epochs 39 loss -893.1837940216064
epochs 40 loss -897.124532699585
epochs 41 loss -901.2551937103271
epochs 42 loss -894.984203338623
epochs 43 loss -914.1555099487305
epochs 44 loss -882.1235904693604
epochs 45 loss -919.7000064849854
epochs 46 loss -898.7869453430176
epochs 47 loss -909.1306285858154
epochs 48 loss -896.7370872497559
epochs 49 loss -897.6827068328857
epochs 50 loss -900.6082248687744
epochs 51 loss -905.149715423584
epochs 52 loss -886.6340599060059
epochs 53 loss -894.1340389251709
epochs 54 loss -909.3986129760742
epochs 55 loss -886.4867744445801
epochs 56 loss -896.4488315582275
epochs 57 loss -896.2544059753418
epochs 58 loss -899.72092628479
epochs 59 loss -919.0255756378174
epochs 60 loss -885.6255283355713
epochs 61 loss -903.2526798248291
epochs 62 loss -899.8195400238037
epochs 63 loss -903.7482585906982
epochs 64 loss -891.3348655700684
epochs 65 loss -881.8496990203857
epochs 66 loss -899.2533836364746
epochs 67 loss -899.162691116333
epochs 68 loss -898.960334777832
epochs 69 loss -902.9790687561035
epochs 70 loss -897.8866062164307
epochs 71 loss -909.2066688537598
epochs 72 loss -894.9088802337646
epochs 73 loss -903.0129089355469
epochs 74 loss -903.2115268707275
epochs 75 loss -902.6853923797607
epochs 76 loss -865.9919662475586
epochs 77 loss -914.7983303070068
epochs 78 loss -904.9126853942871
epochs 79 loss -910.3618659973145
epochs 80 loss -905.2271785736084
epochs 81 loss -908.1542549133301
epochs 82 loss -908.4526748657227
epochs 83 loss -913.131742477417
epochs 84 loss -911.1268844604492
epochs 85 loss -896.3665924072266
epochs 86 loss -901.8114223480225
epochs 87 loss -912.1641082763672
epochs 88 loss -907.3433990478516
epochs 89 loss -905.2047100067139
epochs 90 loss -910.1565780639648
epochs 91 loss -896.8231601715088
epochs 92 loss -900.7570819854736
epochs 93 loss -891.4228553771973
epochs 94 loss -897.0654678344727
epochs 95 loss -902.3185901641846
epochs 96 loss -909.3758029937744
epochs 97 loss -921.1624412536621
epochs 98 loss -888.4448909759521
epochs 99 loss -894.4481773376465
epochs 100 loss -895.4842319488525
epochs 101 loss -904.7513542175293
epochs 102 loss -898.8514308929443
epochs 103 loss -912.3474426269531
epochs 104 loss -901.4319686889648
epochs 105 loss -889.9857959747314
epochs 106 loss -900.4455909729004
epochs 107 loss -899.4049625396729
epochs 108 loss -908.3963851928711
epochs 109 loss -902.8468360900879
epochs 110 loss -903.9952392578125
epochs 111 loss -907.1780414581299
epochs 112 loss -883.8238353729248
epochs 113 loss -895.8180694580078
epochs 114 loss -903.0556182861328
epochs 115 loss -911.5675239562988
epochs 116 loss -907.3380756378174
epochs 117 loss -897.9337158203125
epochs 118 loss -884.3977851867676
epochs 119 loss -904.2870922088623
epochs 120 loss -905.9713687896729
epochs 121 loss -909.7996883392334
epochs 122 loss -894.17600440979
epochs 123 loss -889.9838523864746
epochs 124 loss -893.9309349060059
epochs 125 loss -885.1004123687744
epochs 126 loss -887.1083068847656
epochs 127 loss -890.36106300354
