nohup: ignoring input
[[1 2 3]
 [4 5 6]]
| Xavier Initialization
| Xavier Initialization
Use Critic:
False
/local_workspace/liudefen/PycharmProjects/PycharmProjects/GraphRL/gcn/models_gcn.py:85: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  features = F.log_softmax(features.t())
epochs 0 loss 96.56962394714355
parameter name actor.gc1.weight parameter value tensor(1.00000e-04 *
       [[-7.0304]], device='cuda:0')
parameter name actor.gc1.bias parameter value tensor([ 1.3975], device='cuda:0')
parameter name actor.gc2.weight parameter value tensor([[-1.2467]], device='cuda:0')
parameter name actor.gc2.bias parameter value tensor(1.00000e-04 *
       [ 2.2029], device='cuda:0')
epochs 2 loss 101.19048309326172
epochs 3 loss 95.13496780395508
epochs 4 loss 76.9573335647583
epochs 5 loss 139.84609079360962
epochs 6 loss 37.13287353515625
epochs 7 loss 86.4465217590332
epochs 8 loss 83.41232872009277
epochs 9 loss 58.08144950866699
epochs 10 loss 132.47976303100586
epochs 11 loss 21.10154151916504
epochs 12 loss 117.72138786315918
epochs 13 loss -2.965822219848633
epochs 14 loss 5.1193695068359375
epochs 15 loss -12.78857707977295
epochs 16 loss 6.44528865814209
epochs 17 loss -47.63668441772461
epochs 18 loss 46.12392807006836
epochs 19 loss -55.83816146850586
epochs 20 loss 155.65863132476807
epochs 21 loss -19.047290802001953
epochs 22 loss 17.537726402282715
epochs 23 loss -83.08321475982666
epochs 24 loss 47.062315464019775
epochs 25 loss 78.23225212097168
epochs 26 loss 100.1331377029419
epochs 27 loss 109.40946102142334
epochs 28 loss 166.4437346458435
epochs 29 loss 38.7562198638916
epochs 30 loss -28.364234924316406
epochs 31 loss -19.384371757507324
epochs 32 loss -15.194839477539062
epochs 33 loss 42.63599252700806
epochs 34 loss 108.14737701416016
epochs 35 loss 159.2196044921875
epochs 36 loss 117.40362167358398
epochs 37 loss 112.4846248626709
epochs 38 loss 135.3691520690918
epochs 39 loss 101.30922603607178
epochs 40 loss 123.16692543029785
epochs 41 loss 211.48382472991943
epochs 42 loss 8.044147491455078
epochs 43 loss 202.22448348999023
epochs 44 loss 153.62613916397095
epochs 45 loss 185.21149444580078
epochs 46 loss 72.04169082641602
epochs 47 loss 56.42257499694824
epochs 48 loss 72.65012741088867
epochs 49 loss 21.61751365661621
epochs 50 loss 82.52167415618896
epochs 51 loss 63.704368591308594
epochs 52 loss 37.00572061538696
epochs 53 loss 35.24826526641846
epochs 54 loss 145.7870044708252
epochs 55 loss 4.279689788818359
epochs 56 loss -36.55413627624512
epochs 57 loss 116.28654479980469
epochs 58 loss 120.20918941497803
epochs 59 loss -12.152376651763916
epochs 60 loss 43.87155818939209
epochs 61 loss 31.329301834106445
epochs 62 loss 46.71724224090576
epochs 63 loss 135.75349617004395
epochs 64 loss 4.585554122924805
epochs 65 loss -21.178242683410645
epochs 66 loss 142.08706283569336
epochs 67 loss 79.11867713928223
epochs 68 loss 57.96327590942383
epochs 69 loss 40.91038703918457
epochs 70 loss 105.31183624267578
epochs 71 loss 146.91360473632812
epochs 72 loss 85.73936557769775
epochs 73 loss -42.40107727050781
epochs 74 loss 152.90543174743652
epochs 75 loss 15.886272430419922
epochs 76 loss 64.31954383850098
epochs 77 loss 72.41183948516846
epochs 78 loss 71.9868392944336
epochs 79 loss 147.6913547515869
epochs 80 loss 70.7835922241211
epochs 81 loss 47.635926246643066
epochs 82 loss -3.4922056198120117
epochs 83 loss 68.51895713806152
epochs 84 loss 73.2355546951294
epochs 85 loss 165.184175491333
epochs 86 loss 108.47172546386719
epochs 87 loss 54.56308698654175
epochs 88 loss 126.08017158508301
epochs 89 loss 76.73751735687256
epochs 90 loss 27.63728618621826
epochs 91 loss 169.89230918884277
epochs 92 loss 184.28083515167236
epochs 93 loss 81.40629577636719
epochs 94 loss 84.74367332458496
epochs 95 loss 117.49798583984375
epochs 96 loss 205.44971466064453
epochs 97 loss 45.02818489074707
epochs 98 loss 164.8070945739746
epochs 99 loss 62.93009090423584
epochs 100 loss 204.13294410705566
epochs 101 loss 156.91871643066406
epochs 102 loss 235.77886486053467
epochs 103 loss 166.1740255355835
epochs 104 loss 148.69887924194336
epochs 105 loss 199.634259223938
epochs 106 loss 153.00698471069336
epochs 107 loss 186.3946704864502
epochs 108 loss 169.94065952301025
epochs 109 loss 71.49367141723633
epochs 110 loss 53.74800109863281
epochs 111 loss 204.3084192276001
epochs 112 loss 121.23840045928955
epochs 113 loss 109.90487670898438
epochs 114 loss 192.4977159500122
epochs 115 loss 187.92176818847656
epochs 116 loss 72.09329223632812
epochs 117 loss 156.48933267593384
epochs 118 loss 137.09085178375244
epochs 119 loss 122.04464530944824
epochs 120 loss 80.96281814575195
epochs 121 loss 69.57353591918945
epochs 122 loss 181.50112533569336
epochs 123 loss 182.83217239379883
epochs 124 loss 164.55103397369385
epochs 125 loss 147.46818017959595
epochs 126 loss 167.26926040649414
epochs 127 loss -14.931331157684326
epochs 128 loss 157.29117584228516
epochs 129 loss 208.62853622436523
epochs 130 loss 232.20018005371094
epochs 131 loss 86.94204235076904
epochs 132 loss 108.61370944976807
epochs 133 loss 126.57925701141357
epochs 134 loss 95.2852783203125
epochs 135 loss 61.287972927093506
epochs 136 loss 15.475947380065918
epochs 137 loss 86.28960037231445
epochs 138 loss 193.36840629577637
epochs 139 loss -0.8046393394470215
epochs 140 loss -57.14588165283203
epochs 141 loss 102.34031677246094
epochs 142 loss 139.5730152130127
epochs 143 loss -9.226064682006836
epochs 144 loss 64.61025047302246
epochs 145 loss 120.53287315368652
epochs 146 loss 70.16497802734375
epochs 147 loss -61.3117561340332
epochs 148 loss 81.1719799041748
epochs 149 loss -7.032876968383789
epochs 150 loss 97.61596393585205
epochs 151 loss -14.87479019165039
epochs 152 loss 89.26626205444336
epochs 153 loss -84.30736494064331
epochs 154 loss 47.55616283416748
epochs 155 loss 115.80876541137695
epochs 156 loss 67.40452861785889
epochs 157 loss 243.64003372192383
epochs 158 loss 65.96026134490967
epochs 159 loss 127.47009181976318
epochs 160 loss 74.77302932739258
epochs 161 loss -10.671730041503906
epochs 162 loss -60.90507698059082
epochs 163 loss 10.889961242675781
epochs 164 loss 62.34690475463867
epochs 165 loss 6.311708450317383
epochs 166 loss -20.414384841918945
epochs 167 loss 193.30486679077148
epochs 168 loss 79.23181390762329
epochs 169 loss 88.65123748779297
epochs 170 loss 34.72319412231445
epochs 171 loss 52.589691162109375
epochs 172 loss 109.55041885375977
epochs 173 loss -24.632561206817627
epochs 174 loss -61.34208345413208
epochs 175 loss 108.94251441955566
epochs 176 loss -5.303266525268555
epochs 177 loss 74.24086666107178
epochs 178 loss -4.507474899291992
epochs 179 loss 98.77596092224121
epochs 180 loss 171.0290184020996
epochs 181 loss 91.6259937286377
epochs 182 loss 123.23467922210693
epochs 183 loss -17.588534355163574
epochs 184 loss 126.40886688232422
epochs 185 loss 56.042282581329346
epochs 186 loss -6.172487258911133
epochs 187 loss 3.651224136352539
epochs 188 loss 255.48128128051758
epochs 189 loss 3.6104354858398438
epochs 190 loss 124.99238586425781
epochs 191 loss 120.82778930664062
epochs 192 loss 171.35461807250977
epochs 193 loss 213.92463970184326
epochs 194 loss 216.62925815582275
epochs 195 loss 148.990234375
epochs 196 loss 172.8027114868164
epochs 197 loss 250.30673503875732
epochs 198 loss 120.26858615875244
epochs 199 loss 142.8678159713745
epochs 200 loss 164.2228889465332
