nohup: ignoring input
| Xavier Initialization
| Xavier Initialization
| Xavier Initialization
| Xavier Initialization
test stated
one_step_greedy  inserted edges1290
/SCRATCH/liudefen/PycharmProjects/gnn/GraphRL/gcn/models_gcn.py:85: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  features = F.log_softmax(features.t())
one_step_greedy  inserted edges1234
one_step_greedy  inserted edges1269
one_step_greedy  inserted edges1350
one_step_greedy  inserted edges1275
one_step_greedy  inserted edges1311
one_step_greedy  inserted edges1323
one_step_greedy  inserted edges1250
one_step_greedy  inserted edges1320
one_step_greedy  inserted edges1292
one_step_greedy  inserted edges1281
one_step_greedy  inserted edges1318
one_step_greedy  inserted edges1330
one_step_greedy  inserted edges1286
one_step_greedy  inserted edges1290
one_step_greedy  inserted edges1275
one_step_greedy  inserted edges1404
one_step_greedy  inserted edges1310
one_step_greedy  inserted edges1276
one_step_greedy  inserted edges1356
one_step_greedy  inserted edges1256
one_step_greedy  inserted edges1255
one_step_greedy  inserted edges1260
one_step_greedy  inserted edges1272
one_step_greedy  inserted edges1252
one_step_greedy  inserted edges1299
one_step_greedy  inserted edges1261
one_step_greedy  inserted edges1257
one_step_greedy  inserted edges1295
one_step_greedy  inserted edges1300
one_step_greedy  inserted edges1223
one_step_greedy  inserted edges1292
one_step_greedy  inserted edges1297
one_step_greedy  inserted edges1268
one_step_greedy  inserted edges1315
one_step_greedy  inserted edges1292
one_step_greedy  inserted edges1245
one_step_greedy  inserted edges1284
one_step_greedy  inserted edges1297
one_step_greedy  inserted edges1265
one_step_greedy  inserted edges1286
one_step_greedy  inserted edges1260
one_step_greedy  inserted edges1289
one_step_greedy  inserted edges1247
one_step_greedy  inserted edges1242
one_step_greedy  inserted edges1276
one_step_greedy  inserted edges1341
one_step_greedy  inserted edges1258
one_step_greedy  inserted edges1300
one_step_greedy  inserted edges1267
one_step_greedy  inserted edges1264
one_step_greedy  inserted edges1241
one_step_greedy  inserted edges1270
one_step_greedy  inserted edges1309
one_step_greedy  inserted edges1318
one_step_greedy  inserted edges1273
one_step_greedy  inserted edges1237
one_step_greedy  inserted edges1262
one_step_greedy  inserted edges1292
one_step_greedy  inserted edges1283
one_step_greedy  inserted edges1296
one_step_greedy  inserted edges1333
one_step_greedy  inserted edges1308
one_step_greedy  inserted edges1254
one_step_greedy  inserted edges1291
one_step_greedy  inserted edges1331
one_step_greedy  inserted edges1298
one_step_greedy  inserted edges1323
one_step_greedy  inserted edges1287
one_step_greedy  inserted edges1275
one_step_greedy  inserted edges1297
one_step_greedy  inserted edges1293
one_step_greedy  inserted edges1313
one_step_greedy  inserted edges1252
one_step_greedy  inserted edges1307
one_step_greedy  inserted edges1292
one_step_greedy  inserted edges1317
one_step_greedy  inserted edges1314
one_step_greedy  inserted edges1312
one_step_greedy  inserted edges1267
one_step_greedy  inserted edges1278
one_step_greedy  inserted edges1303
one_step_greedy  inserted edges1301
one_step_greedy  inserted edges1337
one_step_greedy  inserted edges1260
one_step_greedy  inserted edges1305
one_step_greedy  inserted edges1273
one_step_greedy  inserted edges1244
one_step_greedy  inserted edges1253
one_step_greedy  inserted edges1241
one_step_greedy  inserted edges1305
one_step_greedy  inserted edges1304
one_step_greedy  inserted edges1289
one_step_greedy  inserted edges1284
one_step_greedy  inserted edges1282
one_step_greedy  inserted edges1315
one_step_greedy  inserted edges1309
one_step_greedy  inserted edges1322
one_step_greedy  inserted edges1309
one_step_greedy  inserted edges1301
test finished
Test time: 2571.4865
